START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
4,4,1.921812,4,0.691883,1.021607e+00,2.178254,5.646398e-01,EXPECTED
5,5,2.590290,5,1.330161,6.664699e-01,2.935933,4.292090e-01,EXPECTED
6,6,2.140268,6,3.715520,-5.515876e-01,2.503355,-6.292563e-01,OUTLIER
8,8,2.162039,8,0.222940,2.271904e+00,2.591698,7.481964e-01,EXPECTED
9,9,4.827796,9,2.926697,5.005156e-01,2.893671,6.569852e-01,EXPECTED
10,10,2.120759,10,1.258115,5.221595e-01,2.597257,3.321366e-01,EXPECTED
12,12,4.116507,12,2.995991,3.177299e-01,2.569946,4.360076e-01,EXPECTED
13,13,2.192988,13,0.352062,1.829213e+00,2.738176,6.723184e-01,EXPECTED
14,14,1.989892,14,0.861357,8.373266e-01,2.529185,4.462050e-01,EXPECTED
(5#)3/2,59,1.146642,59,0.792149,3.698434e-01,1.990887,1.780578e-01,EXPECTED
(5#)2,64,1.081019,64,0.917200,1.643338e-01,1.850930,8.850632e-02,EXPECTED
(5#)5/2,79,0.979081,89,1.021461,-4.237486e-02,1.724468,-2.457570e-02,OUTLIER
(5#)3,97,0.871999,103,1.104617,-2.364657e-01,1.633982,-1.423626e-01,OUTLIER
(7#)/2,113,1.596300,113,1.136950,3.393392e-01,1.594035,2.881681e-01,EXPECTED
(5#)4,128,2.207081,128,1.183249,6.234068e-01,1.519217,6.739208e-01,EXPECTED
(5#)9/2,146,1.360895,149,1.220017,1.092778e-01,1.503360,9.370876e-02,EXPECTED
(5#)5,157,1.311058,163,1.246324,5.063603e-02,1.471700,4.398587e-02,EXPECTED
(5#)11/2,178,1.810172,179,1.273452,3.516905e-01,1.441408,3.723581e-01,EXPECTED
(5#)6,181,1.801625,193,1.294901,3.302548e-01,1.419043,3.570885e-01,EXPECTED
(5#)13/2,199,1.132084,199,1.314150,-1.491299e-01,1.397320,-1.302966e-01,OUTLIER
(7#),223,1.053604,223,1.327292,-2.309241e-01,1.381099,-1.981668e-01,OUTLIER
(5#)15/2,236,1.517972,239,1.341370,1.236838e-01,1.365220,1.293579e-01,EXPECTED
(5#)8,241,1.504150,251,1.352889,1.059856e-01,1.353305,1.117716e-01,EXPECTED
(5#)17/2,262,2.366905,256,1.353540,5.588598e-01,1.339736,7.563916e-01,EXPECTED
(5#)9,283,1.808288,283,1.369739,2.777603e-01,1.332861,3.290283e-01,EXPECTED
(5#)19/2,292,2.207228,293,1.380331,4.694141e-01,1.321459,6.257455e-01,EXPECTED
(5#)10,313,1.693274,313,1.384572,2.012729e-01,1.315505,2.346643e-01,EXPECTED
(7#)3/2,316,2.096745,317,1.388386,4.122442e-01,1.311798,5.399909e-01,EXPECTED
(5#)11,337,1.613017,337,1.391353,1.478297e-01,1.307303,1.695582e-01,EXPECTED
(5#)23/2,349,1.970222,359,1.394737,3.454404e-01,1.303064,4.416399e-01,EXPECTED
(5#)12,362,1.917761,373,1.397858,3.162173e-01,1.298962,4.002450e-01,EXPECTED
(5#)25/2,379,1.492247,389,1.399199,6.438311e-02,1.297074,7.173685e-02,EXPECTED
(5#)13,391,1.826947,401,1.401088,2.653972e-01,1.294966,3.288573e-01,EXPECTED
(5#)27/2,412,2.111809,419,1.401550,4.099662e-01,1.294003,5.488851e-01,EXPECTED
(7#)2,433,1.364958,433,1.401711,-2.656997e-02,1.293366,-2.841655e-02,OUTLIER
(5#)29/2,439,2.366648,449,1.401020,5.242741e-01,1.293027,7.467965e-01,EXPECTED
(5#)15,463,1.956971,463,1.409977,3.278245e-01,1.283796,4.260755e-01,EXPECTED
(5#)31/2,466,1.944258,479,1.424217,3.112582e-01,1.268772,4.098774e-01,EXPECTED
(5#)16,481,1.907067,491,1.452189,2.724944e-01,1.240192,3.667803e-01,EXPECTED
(5#)33/2,496,1.863948,509,1.468120,2.387141e-01,1.223915,3.234113e-01,EXPECTED
(5#)17,524,2.394277,512,1.481494,4.800303e-01,1.204935,7.575371e-01,EXPECTED
(7#)5/2,526,2.089567,538,1.509371,3.252639e-01,1.187511,4.885816e-01,EXPECTED
(5#)18,548,2.031998,547,1.519808,2.904355e-01,1.171492,4.372117e-01,EXPECTED
(5#)37/2,569,1.983900,569,1.537717,2.547658e-01,1.153182,3.869146e-01,EXPECTED
(5#)19,577,2.245675,577,1.552377,3.692188e-01,1.137832,6.093149e-01,EXPECTED
(5#)39/2,599,2.188595,599,1.568849,3.329176e-01,1.121004,5.528491e-01,EXPECTED
(5#)20,601,1.910627,613,1.583021,1.880964e-01,1.106866,2.959762e-01,EXPECTED
(5#)41/2,617,1.876316,619,1.598212,1.604248e-01,1.091336,2.548289e-01,EXPECTED
(7#)3,631,2.111378,643,1.610683,2.706825e-01,1.078265,4.643525e-01,EXPECTED
(5#)43/2,649,2.329513,659,1.624762,3.602979e-01,1.063881,6.624341e-01,EXPECTED
(5#)22,661,1.788981,673,1.636932,8.882243e-02,1.051753,1.445672e-01,EXPECTED
(5#)45/2,677,2.010889,683,1.650008,1.977968e-01,1.038385,3.475407e-01,EXPECTED
(5#)23,697,2.216917,701,1.660769,2.888367e-01,1.027095,5.414767e-01,EXPECTED
(5#)47/2,706,1.706515,719,1.674734,1.879893e-02,1.013107,3.136984e-02,EXPECTED
(5#)24,734,2.135493,733,1.687606,2.353866e-01,0.999676,4.480322e-01,EXPECTED
(7#)7/2,743,2.355865,743,1.696083,3.285865e-01,0.991015,6.657639e-01,EXPECTED
(5#)25,751,2.338294,761,1.704342,3.162425e-01,0.982576,6.451939e-01,EXPECTED
(5#)51/2,766,2.072834,773,1.716589,1.885776e-01,0.970317,3.671429e-01,EXPECTED
(5#)26,788,1.806384,787,1.727895,4.442315e-02,0.958510,8.188647e-02,EXPECTED
(5#)53/2,802,1.784236,809,1.734371,2.834550e-02,0.952137,5.237167e-02,EXPECTED
(5#)27,821,1.976976,823,1.742656,1.261580e-01,0.943427,2.483711e-01,EXPECTED
(5#)55/2,839,2.379710,839,1.752111,3.061573e-01,0.933766,6.721159e-01,EXPECTED
(7#)4,841,2.159749,853,1.765059,2.018079e-01,0.924075,4.271190e-01,EXPECTED
(5#)57/2,859,1.914982,863,1.769286,7.913215e-02,0.916439,1.589806e-01,EXPECTED
(5#)29,883,2.295458,883,1.780061,2.542848e-01,0.905422,5.692340e-01,EXPECTED
(5#)59/2,886,2.287381,887,1.785090,2.479387e-01,0.900064,5.580614e-01,EXPECTED
(5#)30,904,2.050129,911,1.795293,1.327345e-01,0.889637,2.864494e-01,EXPECTED
(5#)61/2,919,1.825774,929,1.801241,1.352813e-02,0.883558,2.776615e-02,EXPECTED
(5#)31,943,1.991920,941,1.810129,9.570088e-02,0.874676,2.078381e-01,EXPECTED
(7#)9/2,958,2.164457,953,1.814644,1.762802e-01,0.869860,4.021486e-01,EXPECTED
(5#)32,967,1.761041,971,1.823829,-3.503303e-02,0.860471,-7.296934e-02,OUTLIER
(5#)65/2,982,1.933461,983,1.828494,5.581898e-02,0.855894,1.226402e-01,EXPECTED
(5#)33,997,2.106150,997,1.834452,1.381158e-01,0.849613,3.197903e-01,EXPECTED
