START,n_0,C_min,Npred_0,Cbound,Lambda_min,Jitter,JitterRatio
4,4,3.843624,4,2.640647,3.753917e-01,0.000000,0.000000e+00
5,5,2.590290,5,3.520863,-3.069363e-01,0.000000,0.000000e+00
6,6,3.210402,6,5.281295,-4.977752e-01,0.000000,0.000000e+00
8,8,2.162039,8,2.640647,-1.999722e-01,0.000000,0.000000e+00
9,9,4.827796,9,5.281295,-8.978128e-02,0.000000,0.000000e+00
12,12,4.116507,12,1.164787,1.262467e+00,0.000000,0.000000e+00
(13#),30332,2.331433,31183,0.047286,3.898024e+00,0.158321,1.442732e+01
(11#)27/2,31294,2.341935,32327,0.162794,2.666247e+00,0.153022,1.424070e+01
(11#)14,32972,2.389670,32768,0.144417,2.806206e+00,0.117475,1.911260e+01
(11#)29/2,34274,2.354215,34649,0.190051,2.516670e+00,0.116187,1.862656e+01
(11#)15,35792,2.297694,35803,0.443657,1.644610e+00,0.141064,1.314323e+01
(11#)31/2,36436,2.373766,36947,0.048263,3.895568e+00,0.109087,2.131787e+01
(11#)16,37201,2.393769,38113,0.223899,2.369429e+00,0.105885,2.049270e+01
(11#)33/2,38188,2.401751,39251,0.394495,1.806347e+00,0.102878,1.951103e+01
(11#)17,39992,2.425829,40423,0.655141,1.309078e+00,0.070979,2.494665e+01
(11#)35/2,40597,2.307754,41579,0.439267,1.658923e+00,0.100059,1.867385e+01
(11#)18,41851,2.392174,42727,0.670428,1.272042e+00,0.067717,2.542561e+01
(11#)37/2,43531,2.348344,43889,0.654868,1.277032e+00,0.095713,1.769327e+01
(11#)19,44533,2.418503,45013,0.670793,1.282443e+00,0.092525,1.888906e+01
(13#)3/2,45259,2.407217,46199,0.675577,1.270659e+00,0.111383,1.554672e+01
(11#)20,46369,2.380141,47353,0.568013,1.432771e+00,0.109133,1.660477e+01
(11#)41/2,47834,2.378831,48497,0.456830,1.650053e+00,0.106281,1.808414e+01
(11#)21,48931,2.430664,49663,0.708579,1.232658e+00,0.059449,2.896743e+01
(11#)43/2,50461,2.416903,50789,0.533317,1.511126e+00,0.102297,1.841292e+01
(11#)22,51826,2.346624,51973,0.637096,1.303813e+00,0.100423,1.702327e+01
(11#)45/2,52876,2.469593,53129,0.667642,1.308057e+00,0.098627,1.827036e+01
(11#)23,53624,2.388364,54277,0.695479,1.233763e+00,0.096897,1.747097e+01
(11#)47/2,54421,2.447211,55439,0.724187,1.217655e+00,0.057455,2.998910e+01
(11#)24,56176,2.444148,56591,0.726710,1.212924e+00,0.056269,3.052192e+01
(11#)49/2,57172,2.426083,57737,0.728565,1.202956e+00,0.055487,3.059308e+01
(11#)25,58789,2.355012,58901,0.730440,1.170654e+00,0.054361,2.988488e+01
(11#)51/2,59074,2.411060,60041,0.730953,1.193473e+00,0.053643,3.132015e+01
(13#)2,61058,2.418361,61211,0.732063,1.194979e+00,0.052576,3.207353e+01
(11#)53/2,61444,2.421746,62351,0.732454,1.195844e+00,0.051883,3.255964e+01
(11#)27,63421,2.436905,63521,0.732650,1.201816e+00,0.051207,3.328168e+01
(11#)55/2,64198,2.443219,64679,0.732734,1.204289e+00,0.050214,3.406391e+01
(11#)28,65336,2.468498,65536,0.732214,1.215292e+00,0.051893,3.345893e+01
(11#)57/2,66602,2.429966,66977,0.731838,1.200073e+00,0.051233,3.314520e+01
(11#)29,67904,2.413565,68141,0.730716,1.194835e+00,0.050272,3.347488e+01
(11#)59/2,69239,2.447118,69263,0.729885,1.209779e+00,0.049645,3.459025e+01
(11#)30,69911,2.449157,70451,0.728638,1.212322e+00,0.049032,3.508972e+01
(11#)61/2,70544,2.431070,71597,0.727338,1.206695e+00,0.048430,3.517927e+01
(11#)31,71633,2.358847,72763,0.725911,1.178501e+00,0.047839,3.413399e+01
(11#)63/2,73016,2.438849,73907,0.724227,1.214177e+00,0.047263,3.627831e+01
(11#)32,74716,2.474061,75041,0.722382,1.231062e+00,0.046695,3.751320e+01
(13#)5/2,75968,2.467098,76213,0.719968,1.231591e+00,0.045849,3.810617e+01
(11#)33,77144,2.383605,77383,0.717257,1.200935e+00,0.045320,3.676849e+01
(11#)67/2,78427,2.494035,78539,0.714761,1.249709e+00,0.044792,3.972303e+01
(11#)34,79312,2.406904,79693,0.712350,1.217527e+00,0.044267,3.828030e+01
(11#)69/2,79784,2.452666,80849,0.709542,1.240311e+00,0.043758,3.983555e+01
(11#)35,81749,2.460417,82003,0.706738,1.247426e+00,0.043255,4.054280e+01
(11#)71/2,82252,2.460452,83137,0.704006,1.251313e+00,0.042756,4.108069e+01
(11#)36,84046,2.459958,84313,0.700850,1.255606e+00,0.044564,3.947375e+01
(11#)73/2,84562,2.471941,85469,0.697420,1.265371e+00,0.044062,4.027327e+01
(11#)37,86248,2.426071,86599,0.693869,1.251745e+00,0.043569,3.975767e+01
(11#)75/2,87316,2.472748,87767,0.690303,1.275955e+00,0.043084,4.137139e+01
(11#)38,88498,2.433762,88919,0.686479,1.265618e+00,0.042610,4.100641e+01
(11#)77/2,89459,2.383150,90089,0.682545,1.250350e+00,0.042144,4.035224e+01
(13#)3,90526,2.492321,91243,0.678925,1.300459e+00,0.041676,4.351176e+01
(11#)79/2,92357,2.434532,92399,0.676443,1.280662e+00,0.041457,4.240753e+01
(11#)40,92656,2.473194,93553,0.672530,1.302219e+00,0.041002,4.391649e+01
(11#)81/2,94228,2.450231,94709,0.667810,1.299934e+00,0.040569,4.393554e+01
(11#)41,95467,2.446013,95857,0.663227,1.305097e+00,0.040137,4.441752e+01
(11#)83/2,96361,2.470995,97007,0.658655,1.322176e+00,0.039711,4.563824e+01
(11#)42,97684,2.508166,98143,0.653736,1.344603e+00,0.039293,4.719492e+01
(11#)85/2,98764,2.453349,99317,0.648758,1.330150e+00,0.038882,4.641199e+01
(11#)43,99581,2.468655,100483,0.646204,1.340314e+00,0.038679,4.711732e+01
(11#)87/2,101467,2.483060,101627,0.641238,1.353846e+00,0.038277,4.811824e+01
(11#)44,102352,2.491281,102793,0.635758,1.365734e+00,0.037881,4.898295e+01
(11#)89/2,103214,2.468903,103919,0.630229,1.365446e+00,0.037494,4.903915e+01
(11#)45,104056,2.467765,105097,0.624655,1.373869e+00,0.039101,4.713716e+01
(13#)7/2,105883,2.452749,106243,0.621785,1.372370e+00,0.038903,4.706485e+01
(11#)46,106298,2.480088,107377,0.616040,1.392737e+00,0.038508,4.840677e+01
(11#)93/2,107684,2.498534,108557,0.610025,1.409959e+00,0.038123,4.953726e+01
(11#)47,109717,2.499467,109721,0.603973,1.420303e+00,0.037742,5.022240e+01
(11#)95/2,110281,2.415536,110879,0.600925,1.391206e+00,0.037553,4.832133e+01
(11#)48,111058,2.464714,112031,0.594811,1.421587e+00,0.037178,5.029595e+01
(11#)97/2,112681,2.478536,113189,0.588142,1.438455e+00,0.036817,5.134568e+01
(11#)49,113389,2.460935,114343,0.581726,1.442297e+00,0.036454,5.155015e+01
(11#)99/2,115426,2.500222,115499,0.578402,1.463866e+00,0.036276,5.297773e+01
(11#)50,116371,2.460027,116639,0.571575,1.459532e+00,0.035925,5.256651e+01
(11#)101/2,116728,2.402456,117809,0.564638,1.448062e+00,0.035579,5.165457e+01
(11#)51,118894,2.444233,118931,0.561090,1.471605e+00,0.035408,5.318411e+01
(11#)103/2,119458,2.462122,120103,0.553978,1.491654e+00,0.035070,5.440958e+01
(13#)4,121234,2.463828,121271,0.546902,1.505202e+00,0.034733,5.519034e+01
(11#)105/2,121612,2.502568,122401,0.543009,1.527947e+00,0.034572,5.668052e+01
(11#)53,123059,2.504951,123583,0.535533,1.542762e+00,0.034246,5.750797e+01
(11#)107/2,124447,2.517146,124739,0.528040,1.561709e+00,0.033925,5.863245e+01
(11#)54,125479,2.491172,125887,0.524138,1.558754e+00,0.033766,5.825487e+01
(11#)109/2,126397,2.546025,127037,0.516322,1.595558e+00,0.033452,6.067509e+01
(11#)55,127189,2.428594,128203,0.508476,1.563650e+00,0.033141,5.793784e+01
(11#)111/2,129263,2.490514,129347,0.504593,1.596492e+00,0.032988,6.020132e+01
(11#)56,130307,2.503745,130513,0.496417,1.618127e+00,0.034437,5.828986e+01
(11#)113/2,131641,2.512217,131072,0.492289,1.629855e+00,0.034279,5.892611e+01
(11#)57,131888,2.478781,132817,0.483787,1.633877e+00,0.033969,5.872984e+01
(11#)115/2,133174,2.475614,133979,0.475364,1.650163e+00,0.033660,5.942513e+01
(11#)58,134087,2.503206,135131,0.471115,1.670225e+00,0.033508,6.064495e+01
(13#)9/2,135802,2.501586,136277,0.462325,1.688412e+00,0.033208,6.140873e+01
(11#)59,136649,2.492808,137443,0.458298,1.693645e+00,0.033054,6.155110e+01
(11#)119/2,137587,2.515309,138599,0.449078,1.722954e+00,0.032764,6.306406e+01
(11#)60,139511,2.466330,139753,0.444573,1.713372e+00,0.032618,6.198286e+01
(11#)121/2,140009,2.495139,140909,0.435450,1.745720e+00,0.032330,6.370829e+01
(11#)61,141676,2.498497,142061,0.431097,1.757112e+00,0.032183,6.423888e+01
(11#)123/2,142258,2.505830,143197,0.421579,1.782368e+00,0.031904,6.532883e+01
(11#)62,143896,2.509536,144349,0.416861,1.795100e+00,0.031764,6.588197e+01
(11#)125/2,145144,2.491578,145517,0.407505,1.810618e+00,0.031485,6.619257e+01
(11#)63,146176,2.504029,146683,0.402580,1.827762e+00,0.031349,6.703400e+01
(11#)127/2,147401,2.521313,147827,0.392779,1.859288e+00,0.031079,6.848785e+01
(11#)64,148696,2.533538,148991,0.397789,1.851450e+00,0.031010,6.887291e+01
(11#)129/2,149846,2.509766,150131,0.396374,1.845587e+00,0.030812,6.858990e+01
(13#)5,150292,2.507348,151303,0.409553,1.811915e+00,0.030615,6.852180e+01
(11#)131/2,151909,2.518866,152459,0.421667,1.787348e+00,0.030417,6.894825e+01
(11#)66,152914,2.505061,153611,0.434213,1.752533e+00,0.030228,6.850761e+01
(11#)133/2,154702,2.506776,154769,0.446424,1.725484e+00,0.030029,6.861207e+01
(11#)67,155816,2.502854,155921,0.458267,1.697735e+00,0.029852,6.849079e+01
(11#)135/2,156007,2.496651,157061,0.470638,1.668616e+00,0.029650,6.833096e+01
(11#)68,157901,2.486203,158233,0.481513,1.641579e+00,0.029486,6.798786e+01
(11#)137/2,158419,2.533724,159389,0.493587,1.635746e+00,0.029305,6.961737e+01
(11#)69,159407,2.542242,160541,0.504273,1.617684e+00,0.029129,6.996358e+01
(11#)139/2,161659,2.491347,161683,0.515923,1.574621e+00,0.030506,6.475526e+01
(11#)70,162353,2.507294,162853,0.526441,1.560820e+00,0.030324,6.532295e+01
(11#)141/2,163297,2.519915,163997,0.537721,1.544641e+00,0.030145,6.575532e+01
(11#)71,164954,2.477786,165161,0.548006,1.508834e+00,0.029966,6.439899e+01
(13#)11/2,165701,2.520785,166319,0.558991,1.506192e+00,0.029793,6.584748e+01
(11#)72,166351,2.526473,167471,0.570167,1.488650e+00,0.029617,6.605348e+01
(11#)145/2,167809,2.490909,168629,0.579673,1.457939e+00,0.029450,6.489766e+01
(11#)73,168814,2.509419,169783,0.590290,1.447193e+00,0.029282,6.553955e+01
(11#)147/2,170539,2.495056,170927,0.599792,1.425484e+00,0.029116,6.509356e+01
(11#)74,171694,2.497959,172093,0.610309,1.409264e+00,0.028950,6.520380e+01
(11#)149/2,172849,2.504239,173249,0.620500,1.395215e+00,0.028790,6.543032e+01
(11#)75,174214,2.457750,174389,0.629652,1.361834e+00,0.028629,6.385476e+01
(11#)151/2,174814,2.514062,175543,0.639660,1.368718e+00,0.028471,6.583548e+01
