FIRST,LAST,Alpha,PreMertens,Mertens,DeltaMertens,n_5precent,NzeroStat,EtaStat,MertensAsymp,DeltaMertensAsymp,NzeroStatAsymp,EtaStatAsymp
4,9699690,0.0009765625,9699674,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00106494895768,9699674,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00116133507324,9699674,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00126644487759,9699674,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.001381067932,9699653,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00150606525919,9699653,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00164237581104,9699653,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00179102352188,9699643,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.001953125,9699674,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00212989791536,9699674,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00232267014649,9699628,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00253288975518,9699176,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00276213586401,9699176,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00301213051837,9697862,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00328475162208,9696391,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00358204704377,9695291,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00390625,9695291,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00425979583072,9685531,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00464534029298,9685531,0,0.000000,0,0,0.000000,0,0.000000,0,0.000000
4,9699690,0.00506577951036,9695341,0,0.000000,9241026,9698503,0.055520,0,0.000000,9698503,0.046622
4,9699690,0.00552427172802,9537376,0,0.000000,8369792,9685531,0.006761,0,0.000000,9695341,0.005989
4,9699690,0.00602426103675,9472598,0,0.000000,7580017,9564004,0.000684,0,0.000000,9691543,0.010027
4,9699690,0.00656950324417,9159812,9417181,0.013113,6864142,9472598,0.001662,0,0.000000,9491026,0.021600
4,9699690,0.00716409408754,9485999,0,0.000000,6215301,9489083,0.000094,0,0.000000,9541124,0.047333
4,9699690,0.0078125,9057157,9417181,0.021194,5627264,9159812,0.011142,9417181,0.021194,9152456,0.002136
4,9699690,0.00851959166145,9152456,9338827,0.034245,5094376,9338827,0.034245,9338827,0.034245,9338827,0.024026
4,9699690,0.00929068058596,7238339,7638497,0.016485,4611503,7638497,0.016485,7638497,0.016485,7638497,0.004677
4,9699690,0.0101315590207,6384029,6651937,0.030187,4173988,7216597,0.008751,6651937,0.030187,6651937,0.022614
4,9699690,0.011048543456,5719144,6068224,0.021493,3777603,5744512,0.015045,6068224,0.021493,5744512,0.001747
