START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
(11#)98,227251,2.549104,227533,1.831913,3.303811e-01,0.326615,2.195830e+00,EXPECTED
(11#)197/2,228097,2.525164,228677,1.834905,3.193133e-01,0.326964,2.111116e+00,EXPECTED
(11#)99,229234,2.519971,229841,1.837905,3.156211e-01,0.327316,2.083815e+00,EXPECTED
(11#)199/2,230848,2.518411,230999,1.840803,3.134263e-01,0.327671,2.067952e+00,EXPECTED
(11#)100,231643,2.524351,232153,1.843711,3.142036e-01,0.328028,2.074945e+00,EXPECTED
(11#)201/2,232189,2.532524,233297,1.846632,3.158530e-01,0.328393,2.088632e+00,EXPECTED
(11#)101,233978,2.534564,234463,1.849475,3.151198e-01,0.328753,2.083902e+00,EXPECTED
(11#)203/2,235028,2.506846,235607,1.852289,3.026032e-01,0.329118,1.988822e+00,EXPECTED
(11#)102,236092,2.538865,236773,1.855096,3.137807e-01,0.329486,2.075260e+00,EXPECTED
(11#)205/2,237883,2.566648,237929,1.857887,3.231609e-01,0.329859,2.148679e+00,EXPECTED
(11#)103,238892,2.539570,239081,1.860661,3.110630e-01,0.330233,2.055848e+00,EXPECTED
(11#)207/2,239857,2.497741,240209,1.863378,2.929958e-01,0.330609,1.918771e+00,EXPECTED
(13#)8,241393,2.514952,241393,1.866105,2.984003e-01,0.330988,1.960334e+00,EXPECTED
(11#)209/2,242119,2.534017,242533,1.868837,3.044895e-01,0.331378,2.007315e+00,EXPECTED
(11#)105,243043,2.536059,243703,1.871445,3.039004e-01,0.331755,2.003328e+00,EXPECTED
(11#)211/2,243736,2.522425,244859,1.874092,2.970965e-01,0.332142,1.951975e+00,EXPECTED
(11#)106,245587,2.544113,246011,1.876712,3.042608e-01,0.332532,2.007028e+00,EXPECTED
(11#)213/2,246518,2.561050,247141,1.879314,3.095105e-01,0.332924,2.047723e+00,EXPECTED
(11#)107,247868,2.534405,248323,1.881916,2.976685e-01,0.333323,1.957528e+00,EXPECTED
(11#)215/2,248867,2.548208,249463,1.884496,3.017300e-01,0.333722,1.988817e+00,EXPECTED
(11#)108,249512,2.527815,250619,1.887018,2.923575e-01,0.334122,1.917853e+00,EXPECTED
(11#)217/2,251081,2.534266,251789,1.889512,2.935855e-01,0.334521,1.927395e+00,EXPECTED
(11#)109,252071,2.523456,252937,1.891991,2.879997e-01,0.334923,1.885404e+00,EXPECTED
(11#)219/2,253741,2.514393,254083,1.894472,2.830913e-01,0.335332,1.848678e+00,EXPECTED
(11#)110,255214,2.528919,255253,1.896935,2.875525e-01,0.335741,1.882356e+00,EXPECTED
(17#)/2,259801,2.503359,262144,1.899360,2.761164e-01,0.336153,1.796798e+00,EXPECTED
(13#)9,272794,2.510783,285283,1.929301,2.634369e-01,0.341718,1.701643e+00,EXPECTED
(13#)19/2,285424,2.505523,300299,1.956421,2.473807e-01,0.347652,1.579459e+00,EXPECTED
(13#)10,303904,2.513081,315313,1.981105,2.378547e-01,0.348927,1.524605e+00,EXPECTED
(13#)21/2,324223,2.512902,330329,2.003717,2.264343e-01,0.336519,1.513094e+00,EXPECTED
(13#)11,340261,2.521429,345329,2.024416,2.195445e-01,0.325157,1.528532e+00,EXPECTED
(13#)23/2,354971,2.521369,360337,2.043544,2.101165e-01,0.314669,1.518500e+00,EXPECTED
(13#)12,366794,2.499164,375373,2.061234,1.926514e-01,0.304967,1.435991e+00,EXPECTED
(13#)25/2,386068,2.523716,390389,2.077661,1.944897e-01,0.295958,1.507156e+00,EXPECTED
(13#)13,401509,2.524416,405401,2.092933,1.874433e-01,0.287587,1.500356e+00,EXPECTED
(13#)27/2,414448,2.520611,420419,2.107207,1.791380e-01,0.279766,1.477678e+00,EXPECTED
(13#)14,431146,2.523703,435427,2.120565,1.740447e-01,0.272449,1.479682e+00,EXPECTED
(13#)29/2,448444,2.521152,450431,2.133099,1.671401e-01,0.265584,1.461131e+00,EXPECTED
(13#)15,463549,2.513127,465463,2.144881,1.584437e-01,0.259132,1.421075e+00,EXPECTED
(13#)31/2,467009,2.541140,480463,2.155986,1.643646e-01,0.253052,1.522035e+00,EXPECTED
(13#)16,488339,2.536748,495491,2.166476,1.577811e-01,0.247310,1.497198e+00,EXPECTED
(13#)33/2,498436,2.527659,510481,2.176384,1.496288e-01,0.241887,1.452228e+00,EXPECTED
(17#),515611,2.539315,524288,2.185772,1.499253e-01,0.236752,1.493305e+00,EXPECTED
(13#)35/2,535858,2.540830,540539,2.194671,1.464587e-01,0.231881,1.492830e+00,EXPECTED
(13#)18,548461,2.531963,555523,2.203132,1.391149e-01,0.227251,1.446995e+00,EXPECTED
(13#)37/2,569077,2.543991,570569,2.211185,1.402055e-01,0.222846,1.493435e+00,EXPECTED
(13#)19,571262,2.550486,585581,2.218864,1.392886e-01,0.218648,1.516693e+00,EXPECTED
(13#)39/2,588338,2.563074,600577,2.226177,1.409216e-01,0.214646,1.569547e+00,EXPECTED
(13#)20,612022,2.551653,615607,2.233168,1.333202e-01,0.210822,1.510682e+00,EXPECTED
(13#)41/2,621472,2.552996,630613,2.239854,1.308569e-01,0.207166,1.511551e+00,EXPECTED
(13#)21,633967,2.541689,645641,2.246265,1.235600e-01,0.203660,1.450574e+00,EXPECTED
(13#)43/2,656629,2.539026,660659,2.252386,1.197904e-01,0.200313,1.430961e+00,EXPECTED
(13#)22,674719,2.554681,675643,2.258268,1.233292e-01,0.197097,1.503894e+00,EXPECTED
(13#)45/2,686398,2.527108,690689,2.263929,1.099738e-01,0.194002,1.356579e+00,EXPECTED
(13#)23,703568,2.559020,705689,2.269353,1.201296e-01,0.191036,1.516295e+00,EXPECTED
(13#)47/2,713309,2.554701,720703,2.274565,1.161464e-01,0.188186,1.488612e+00,EXPECTED
(13#)24,733528,2.558252,735733,2.279594,1.153269e-01,0.185436,1.502718e+00,EXPECTED
(13#)49/2,748691,2.568782,750749,2.284428,1.173162e-01,0.182793,1.555607e+00,EXPECTED
(13#)25,758411,2.555201,765763,2.289099,1.099726e-01,0.180239,1.476384e+00,EXPECTED
(17#)3/2,770558,2.532269,780733,2.293596,9.899485e-02,0.177781,1.342511e+00,EXPECTED
(13#)26,787162,2.561586,795793,2.297946,1.086109e-01,0.175404,1.503044e+00,EXPECTED
(13#)53/2,804191,2.552045,810809,2.302141,1.030554e-01,0.173108,1.443631e+00,EXPECTED
(13#)27,819212,2.562766,825821,2.306204,1.054843e-01,0.170888,1.501346e+00,EXPECTED
(13#)55/2,831373,2.564720,840839,2.310126,1.045472e-01,0.168741,1.508786e+00,EXPECTED
(13#)28,850253,2.564273,855851,2.313925,1.027298e-01,0.166663,1.502121e+00,EXPECTED
(13#)57/2,860422,2.564422,870853,2.317606,1.011984e-01,0.164650,1.499034e+00,EXPECTED
(13#)29,883648,2.566164,885883,2.321171,1.003404e-01,0.162699,1.505805e+00,EXPECTED
(13#)59/2,891427,2.564719,900869,2.324629,9.828846e-02,0.160808,1.493023e+00,EXPECTED
(13#)30,909037,2.548728,915911,2.327985,9.059132e-02,0.158973,1.388557e+00,EXPECTED
(13#)61/2,915961,2.547074,930911,2.331236,8.854665e-02,0.157193,1.373076e+00,EXPECTED
(13#)31,944161,2.565326,945943,2.334395,9.433281e-02,0.155464,1.485431e+00,EXPECTED
(13#)63/2,957844,2.549019,960941,2.337465,8.664157e-02,0.153784,1.375657e+00,EXPECTED
(13#)32,968299,2.573348,975967,2.340447,9.486584e-02,0.152152,1.530713e+00,EXPECTED
(13#)65/2,990586,2.569172,990989,2.343347,9.200342e-02,0.150564,1.499861e+00,EXPECTED
(13#)33,1004449,2.563918,1006003,2.346171,8.875192e-02,0.149018,1.461213e+00,EXPECTED
(13#)67/2,1016921,2.561834,1021019,2.348913,8.677074e-02,0.147517,1.443366e+00,EXPECTED
(17#)2,1034134,2.571303,1036027,2.351588,8.932193e-02,0.146052,1.504361e+00,EXPECTED
(13#)69/2,1050706,2.556321,1048576,2.354187,8.237367e-02,0.144628,1.397613e+00,EXPECTED
(13#)35,1053142,2.560025,1066063,2.356721,8.274578e-02,0.143240,1.419324e+00,EXPECTED
(13#)71/2,1067611,2.564956,1081079,2.359192,8.362214e-02,0.141887,1.450196e+00,EXPECTED
(13#)36,1093418,2.575284,1096079,2.361602,8.661962e-02,0.140566,1.520154e+00,EXPECTED
(13#)73/2,1101119,2.571810,1111091,2.363949,8.427641e-02,0.139280,1.492397e+00,EXPECTED
(13#)37,1116337,2.566773,1126093,2.366243,8.134600e-02,0.138023,1.452874e+00,EXPECTED
(13#)75/2,1138519,2.571708,1141139,2.368480,8.232187e-02,0.136795,1.485639e+00,EXPECTED
(13#)38,1154584,2.576126,1156151,2.370663,8.311706e-02,0.135598,1.515236e+00,EXPECTED
(13#)77/2,1166306,2.582036,1171133,2.372790,8.451176e-02,0.134432,1.556519e+00,EXPECTED
(13#)39,1171721,2.577143,1186181,2.374874,8.173704e-02,0.133288,1.517533e+00,EXPECTED
(13#)79/2,1190542,2.575724,1201183,2.376910,8.032933e-02,0.132171,1.504218e+00,EXPECTED
(13#)40,1201553,2.553525,1216213,2.378894,7.083908e-02,0.131082,1.332227e+00,EXPECTED
(13#)81/2,1227416,2.574592,1231229,2.380842,7.823687e-02,0.130013,1.490236e+00,EXPECTED
(13#)41,1239109,2.571541,1246243,2.382738,7.625508e-02,0.128972,1.463907e+00,EXPECTED
(13#)83/2,1246537,2.571671,1261259,2.384597,7.552574e-02,0.127951,1.462075e+00,EXPECTED
(13#)42,1271308,2.567174,1276271,2.386416,7.301302e-02,0.126952,1.423829e+00,EXPECTED
(17#)5/2,1287808,2.580738,1291271,2.388196,7.753714e-02,0.125974,1.528427e+00,EXPECTED
(13#)43,1305097,2.580555,1306289,2.389941,7.673581e-02,0.125016,1.524717e+00,EXPECTED
(13#)87/2,1308529,2.570502,1321319,2.391645,7.211980e-02,0.124078,1.441488e+00,EXPECTED
(13#)44,1327552,2.567012,1336333,2.393318,7.006189e-02,0.123160,1.410312e+00,EXPECTED
(13#)89/2,1347289,2.580835,1351327,2.394952,7.474980e-02,0.122260,1.520391e+00,EXPECTED
(13#)45,1352977,2.568573,1366349,2.396558,6.931695e-02,0.121376,1.417208e+00,EXPECTED
(13#)91/2,1367291,2.578175,1381349,2.398127,7.239377e-02,0.120513,1.494013e+00,EXPECTED
(13#)46,1392068,2.581279,1396393,2.399667,7.295503e-02,0.119665,1.517670e+00,EXPECTED
(13#)93/2,1403569,2.576241,1411387,2.401179,7.037149e-02,0.118833,1.473177e+00,EXPECTED
(13#)47,1421554,2.574203,1426393,2.402658,6.896435e-02,0.118018,1.453549e+00,EXPECTED
(13#)95/2,1427329,2.563568,1441439,2.404111,6.421985e-02,0.117218,1.360346e+00,EXPECTED
(13#)48,1446013,2.577389,1456451,2.405537,6.900371e-02,0.116432,1.475986e+00,EXPECTED
(13#)97/2,1460213,2.583438,1471447,2.406938,7.076567e-02,0.115660,1.526025e+00,EXPECTED
(13#)49,1485139,2.569529,1486451,2.408307,6.479860e-02,0.114905,1.403090e+00,EXPECTED
(13#)99/2,1498438,2.572049,1501499,2.409653,6.522010e-02,0.114162,1.422505e+00,EXPECTED
(13#)50,1508933,2.579741,1516513,2.410974,6.765819e-02,0.113433,1.487812e+00,EXPECTED
(13#)101/2,1525204,2.588498,1531499,2.412274,7.050791e-02,0.112716,1.563434e+00,EXPECTED
(17#)3,1538384,2.572062,1546537,2.413549,6.360963e-02,0.112012,1.415143e+00,EXPECTED
(13#)103/2,1552613,2.581629,1561559,2.414800,6.680413e-02,0.111322,1.498617e+00,EXPECTED
(13#)52,1568978,2.579733,1576571,2.416031,6.555979e-02,0.110641,1.479578e+00,EXPECTED
(13#)105/2,1588283,2.576881,1591589,2.417238,6.395419e-02,0.109974,1.451643e+00,EXPECTED
(13#)53,1600058,2.588112,1606603,2.418428,6.781091e-02,0.109318,1.552205e+00,EXPECTED
(13#)107/2,1611293,2.582728,1621619,2.419596,6.524562e-02,0.108671,1.501155e+00,EXPECTED
(13#)54,1625321,2.576631,1636627,2.420741,6.240904e-02,0.108037,1.442932e+00,EXPECTED
(13#)109/2,1647964,2.569523,1651621,2.421869,5.918072e-02,0.107413,1.374638e+00,EXPECTED
(13#)55,1658869,2.582682,1666657,2.422980,6.383021e-02,0.106798,1.495365e+00,EXPECTED
(13#)111/2,1668971,2.593334,1681679,2.424073,6.749512e-02,0.106193,1.593900e+00,EXPECTED
(13#)56,1693639,2.579746,1696693,2.425144,6.180004e-02,0.105600,1.464034e+00,EXPECTED
(13#)113/2,1708321,2.575121,1711687,2.426198,5.957110e-02,0.105016,1.418098e+00,EXPECTED
(13#)57,1725814,2.588012,1726693,2.427239,6.413562e-02,0.104440,1.539381e+00,EXPECTED
(13#)115/2,1740821,2.579711,1741723,2.428259,6.050284e-02,0.103873,1.458050e+00,EXPECTED
(13#)58,1746859,2.570141,1756747,2.429265,5.637202e-02,0.103315,1.363558e+00,EXPECTED
(13#)117/2,1770016,2.583728,1771751,2.430256,6.123672e-02,0.102765,1.493427e+00,EXPECTED
(13#)59,1777753,2.573578,1786781,2.431230,5.689985e-02,0.102224,1.392511e+00,EXPECTED
(17#)7/2,1791778,2.589083,1801781,2.432188,6.251250e-02,0.101692,1.542845e+00,EXPECTED
(13#)60,1802266,2.584393,1816813,2.433134,6.031053e-02,0.101167,1.495142e+00,EXPECTED
(13#)121/2,1831436,2.577516,1831811,2.434064,5.726386e-02,0.100650,1.425256e+00,EXPECTED
(13#)61,1835741,2.571404,1846843,2.434979,5.451392e-02,0.100141,1.362329e+00,EXPECTED
(13#)123/2,1858867,2.583732,1861859,2.435881,5.892637e-02,0.099639,1.483867e+00,EXPECTED
(13#)62,1872751,2.587271,1876859,2.436770,5.993026e-02,0.099145,1.517989e+00,EXPECTED
(13#)125/2,1877164,2.577582,1891889,2.437648,5.581811e-02,0.098656,1.418403e+00,EXPECTED
(13#)63,1892416,2.592349,1906889,2.438509,6.117763e-02,0.098176,1.566982e+00,EXPECTED
(13#)127/2,1908661,2.585161,1921919,2.439358,5.805290e-02,0.097703,1.492308e+00,EXPECTED
(13#)64,1931242,2.580351,1936889,2.440196,5.584707e-02,0.097236,1.441390e+00,EXPECTED
(13#)129/2,1939141,2.593342,1951949,2.441022,6.053059e-02,0.096775,1.573960e+00,EXPECTED
(13#)65,1953379,2.593798,1966963,2.441835,6.037341e-02,0.096321,1.577673e+00,EXPECTED
(13#)131/2,1969936,2.574568,1981963,2.442638,5.260315e-02,0.095873,1.376091e+00,EXPECTED
(13#)66,1988632,2.587112,1996979,2.443430,5.713941e-02,0.095431,1.505611e+00,EXPECTED
(13#)133/2,1997902,2.586030,2012009,2.444209,5.640233e-02,0.094996,1.492915e+00,EXPECTED
(13#)67,2021137,2.583325,2027023,2.444978,5.504120e-02,0.094566,1.462968e+00,EXPECTED
(13#)135/2,2033041,2.591447,2042039,2.445737,5.786990e-02,0.094142,1.547768e+00,EXPECTED
(17#)4,2053553,2.579809,2057053,2.446485,5.306306e-02,0.093723,1.422532e+00,EXPECTED
(13#)137/2,2071096,2.585053,2072053,2.447224,5.479169e-02,0.093310,1.477109e+00,EXPECTED
(13#)69,2076304,2.586796,2087081,2.447951,5.516870e-02,0.092902,1.494532e+00,EXPECTED
(13#)139/2,2098952,2.580068,2097152,2.448670,5.227074e-02,0.092500,1.420519e+00,EXPECTED
(13#)70,2106019,2.587094,2117099,2.449378,5.470112e-02,0.092103,1.495239e+00,EXPECTED
(13#)141/2,2118514,2.592353,2132129,2.450076,5.644691e-02,0.091711,1.551362e+00,EXPECTED
(13#)71,2136091,2.592237,2147137,2.450767,5.612017e-02,0.091324,1.549100e+00,EXPECTED
(13#)143/2,2149759,2.601746,2162137,2.451448,5.950389e-02,0.090942,1.652680e+00,EXPECTED
(13#)72,2166772,2.597074,2177167,2.452120,5.743247e-02,0.090564,1.600570e+00,EXPECTED
(13#)145/2,2191216,2.591899,2192161,2.452785,5.516670e-02,0.090191,1.542438e+00,EXPECTED
(13#)73,2198473,2.595378,2207203,2.453438,5.624186e-02,0.089823,1.580219e+00,EXPECTED
(13#)147/2,2210389,2.596815,2222219,2.454084,5.653212e-02,0.089460,1.595473e+00,EXPECTED
(13#)74,2222702,2.600920,2237219,2.454723,5.785130e-02,0.089101,1.640801e+00,EXPECTED
(13#)149/2,2246323,2.596339,2252233,2.455353,5.583184e-02,0.088746,1.588646e+00,EXPECTED
(13#)75,2263843,2.582011,2267263,2.455974,5.004513e-02,0.088396,1.425822e+00,EXPECTED
(13#)151/2,2279476,2.588150,2282257,2.456589,5.216953e-02,0.088049,1.494179e+00,EXPECTED
(13#)76,2294377,2.602427,2297291,2.457196,5.742361e-02,0.087707,1.655866e+00,EXPECTED
(17#)9/2,2309311,2.594955,2312293,2.457795,5.430457e-02,0.087369,1.569893e+00,EXPECTED
(13#)77,2316212,2.583454,2327323,2.458387,4.962182e-02,0.087035,1.436974e+00,EXPECTED
(13#)155/2,2338396,2.592073,2342309,2.458973,5.271416e-02,0.086704,1.535108e+00,EXPECTED
(13#)78,2352563,2.595422,2357353,2.459550,5.377072e-02,0.086378,1.572993e+00,EXPECTED
(13#)157/2,2368486,2.590531,2372369,2.460121,5.165234e-02,0.086055,1.515426e+00,EXPECTED
(13#)79,2375998,2.595066,2387383,2.460684,5.317259e-02,0.085736,1.567393e+00,EXPECTED
(13#)159/2,2391856,2.585609,2402383,2.461242,4.929497e-02,0.085421,1.455930e+00,EXPECTED
(13#)80,2409742,2.596264,2417399,2.461792,5.318395e-02,0.085109,1.579997e+00,EXPECTED
(13#)161/2,2425117,2.592377,2432429,2.462336,5.146472e-02,0.084801,1.533484e+00,EXPECTED
(13#)81,2434183,2.589718,2447437,2.462875,5.021962e-02,0.084496,1.501172e+00,EXPECTED
(13#)163/2,2459998,2.595797,2462443,2.463407,5.234825e-02,0.084195,1.572421e+00,EXPECTED
(13#)82,2473948,2.581392,2477471,2.463931,4.657075e-02,0.083896,1.400079e+00,EXPECTED
(13#)165/2,2484971,2.595580,2492461,2.464452,5.184053e-02,0.083601,1.568498e+00,EXPECTED
(13#)83,2495473,2.597962,2507489,2.464964,5.255009e-02,0.083310,1.596423e+00,EXPECTED
(13#)167/2,2511253,2.602871,2522503,2.465472,5.423180e-02,0.083021,1.654991e+00,EXPECTED
(13#)84,2525273,2.595884,2537527,2.465973,5.134066e-02,0.082736,1.570187e+00,EXPECTED
(13#)169/2,2548498,2.597963,2552531,2.466468,5.194051e-02,0.082454,1.594768e+00,EXPECTED
(17#)5,2555363,2.595337,2567557,2.466960,5.072975e-02,0.082174,1.562258e+00,EXPECTED
(13#)171/2,2578036,2.596895,2582551,2.467444,5.113370e-02,0.081898,1.580637e+00,EXPECTED
(13#)86,2594246,2.593958,2597591,2.467923,4.980799e-02,0.081625,1.544074e+00,EXPECTED
(13#)173/2,2612419,2.590050,2612549,2.468397,4.810823e-02,0.081354,1.495354e+00,EXPECTED
(13#)87,2622619,2.592665,2627617,2.468867,4.892696e-02,0.081085,1.526768e+00,EXPECTED
(13#)175/2,2640928,2.597647,2642639,2.469330,5.065918e-02,0.080821,1.587669e+00,EXPECTED
(13#)88,2653489,2.589649,2657651,2.469790,4.738922e-02,0.080558,1.487860e+00,EXPECTED
(13#)177/2,2662903,2.599814,2672639,2.470243,5.112338e-02,0.080299,1.613607e+00,EXPECTED
(13#)89,2683354,2.590833,2687677,2.470691,4.748158e-02,0.080042,1.500987e+00,EXPECTED
(13#)179/2,2695961,2.593039,2702681,2.471137,4.815218e-02,0.079787,1.527843e+00,EXPECTED
(13#)90,2717602,2.598752,2717713,2.471575,5.017573e-02,0.079536,1.598987e+00,EXPECTED
(13#)181/2,2719121,2.594914,2732701,2.472010,4.852179e-02,0.079287,1.550115e+00,EXPECTED
(13#)91,2739127,2.593271,2747713,2.472440,4.771450e-02,0.079040,1.528732e+00,EXPECTED
(13#)183/2,2759311,2.597895,2762759,2.472865,4.932410e-02,0.078796,1.586756e+00,EXPECTED
(13#)92,2774917,2.605239,2777771,2.473286,5.197679e-02,0.078554,1.679774e+00,EXPECTED
(13#)185/2,2781718,2.593394,2792773,2.473703,4.725122e-02,0.078314,1.528347e+00,EXPECTED
(13#)93,2798351,2.597376,2807789,2.474115,4.861895e-02,0.078077,1.578711e+00,EXPECTED
(17#)11/2,2812492,2.599243,2822819,2.474523,4.917260e-02,0.077842,1.602220e+00,EXPECTED
(13#)94,2825503,2.600128,2837803,2.474927,4.934977e-02,0.077609,1.613228e+00,EXPECTED
(13#)189/2,2849842,2.600123,2852849,2.475326,4.918665e-02,0.077379,1.612802e+00,EXPECTED
(13#)95,2863901,2.601423,2867861,2.475722,4.952653e-02,0.077151,1.629285e+00,EXPECTED
(13#)191/2,2873672,2.596843,2882863,2.476113,4.760648e-02,0.076925,1.569451e+00,EXPECTED
(13#)96,2895122,2.601897,2897893,2.476501,4.939412e-02,0.076701,1.634868e+00,EXPECTED
(13#)193/2,2904764,2.591674,2912893,2.476884,4.530268e-02,0.076480,1.500915e+00,EXPECTED
(13#)97,2919424,2.602268,2927917,2.477264,4.922865e-02,0.076260,1.639182e+00,EXPECTED
(13#)195/2,2936938,2.587620,2942909,2.477640,4.343204e-02,0.076042,1.446306e+00,EXPECTED
(13#)98,2949664,2.600223,2957947,2.478012,4.814058e-02,0.075826,1.611729e+00,EXPECTED
(13#)197/2,2970467,2.599407,2972969,2.478380,4.767822e-02,0.075613,1.600611e+00,EXPECTED
(13#)99,2980234,2.595608,2987983,2.478745,4.606840e-02,0.075401,1.549887e+00,EXPECTED
(13#)199/2,2997242,2.598877,3002981,2.479106,4.718142e-02,0.075192,1.592869e+00,EXPECTED
(13#)100,3004042,2.591117,3018013,2.479464,4.404665e-02,0.074984,1.489024e+00,EXPECTED
(13#)201/2,3021439,2.592341,3033011,2.479818,4.437616e-02,0.074778,1.504761e+00,EXPECTED
(13#)101,3040787,2.595932,3048043,2.480170,4.561850e-02,0.074574,1.552310e+00,EXPECTED
(13#)203/2,3053924,2.607868,3063059,2.480516,5.006643e-02,0.074372,1.712365e+00,EXPECTED
(17#)6,3066709,2.591466,3078073,2.480861,4.361806e-02,0.074171,1.491216e+00,EXPECTED
(13#)205/2,3092806,2.597068,3093071,2.481202,4.564000e-02,0.073972,1.566349e+00,EXPECTED
(13#)103,3107012,2.604617,3108103,2.481539,4.840671e-02,0.073775,1.668289e+00,EXPECTED
(13#)207/2,3115766,2.600286,3123091,2.481873,4.660792e-02,0.073581,1.609288e+00,EXPECTED
(13#)104,3127703,2.602558,3138131,2.482204,4.734793e-02,0.073387,1.639991e+00,EXPECTED
(13#)209/2,3144191,2.605823,3153149,2.482532,4.846955e-02,0.073195,1.684418e+00,EXPECTED
(13#)105,3159916,2.603373,3168119,2.482857,4.739800e-02,0.073005,1.650791e+00,EXPECTED
(13#)211/2,3177964,2.601562,3183179,2.483178,4.657284e-02,0.072817,1.625774e+00,EXPECTED
(13#)106,3192643,2.602437,3198191,2.483497,4.678067e-02,0.072630,1.637615e+00,EXPECTED
(13#)213/2,3201973,2.598668,3213163,2.483813,4.520413e-02,0.072445,1.585410e+00,EXPECTED
(13#)107,3226558,2.596537,3228223,2.484126,4.425775e-02,0.072261,1.555625e+00,EXPECTED
(13#)215/2,3235957,2.604722,3243239,2.484435,4.728068e-02,0.072079,1.668822e+00,EXPECTED
(13#)108,3245252,2.608783,3258247,2.484743,4.871460e-02,0.071898,1.725222e+00,EXPECTED
(13#)217/2,3260314,2.604682,3273269,2.485047,4.701902e-02,0.071719,1.668107e+00,EXPECTED
(13#)109,3275093,2.605763,3288269,2.485348,4.731284e-02,0.071542,1.683137e+00,EXPECTED
(13#)219/2,3290396,2.600457,3303281,2.485647,4.515421e-02,0.071366,1.608749e+00,EXPECTED
(13#)110,3317926,2.603487,3318307,2.485943,4.619964e-02,0.071191,1.651108e+00,EXPECTED
(17#)13/2,3326234,2.605172,3333313,2.486236,4.672878e-02,0.071018,1.674730e+00,EXPECTED
(13#)111,3341761,2.604131,3348307,2.486526,4.621247e-02,0.070846,1.660009e+00,EXPECTED
(13#)223/2,3354079,2.597185,3363343,2.486814,4.342579e-02,0.070676,1.561648e+00,EXPECTED
(13#)112,3364727,2.596771,3378373,2.487100,4.315138e-02,0.070507,1.555463e+00,EXPECTED
(13#)225/2,3380669,2.605672,3393373,2.487383,4.645945e-02,0.070340,1.681675e+00,EXPECTED
(13#)113,3395806,2.609983,3408389,2.487663,4.799999e-02,0.070173,1.743121e+00,EXPECTED
(13#)227/2,3411274,2.603699,3423419,2.487941,4.547767e-02,0.070009,1.653473e+00,EXPECTED
(13#)114,3434458,2.611137,3438419,2.488217,4.821937e-02,0.069845,1.759897e+00,EXPECTED
(13#)229/2,3439621,2.611954,3453409,2.488489,4.842290e-02,0.069683,1.771809e+00,EXPECTED
(13#)115,3464267,2.603425,3468463,2.488760,4.504329e-02,0.069522,1.649334e+00,EXPECTED
(13#)231/2,3479059,2.604518,3483463,2.489028,4.535536e-02,0.069362,1.665033e+00,EXPECTED
(13#)116,3489916,2.613878,3498493,2.489294,4.883581e-02,0.069204,1.800243e+00,EXPECTED
(13#)233/2,3502439,2.610699,3513491,2.489557,4.751322e-02,0.069047,1.754486e+00,EXPECTED
(13#)117,3515401,2.612171,3528521,2.489818,4.797206e-02,0.068891,1.776038e+00,EXPECTED
(13#)235/2,3539002,2.606307,3543523,2.490078,4.562024e-02,0.068736,1.690948e+00,EXPECTED
(13#)118,3553097,2.606045,3558553,2.490335,4.541651e-02,0.068582,1.687177e+00,EXPECTED
(13#)237/2,3561149,2.602978,3573529,2.490589,4.413695e-02,0.068430,1.642394e+00,EXPECTED
(17#)7,3576721,2.610207,3588527,2.490841,4.680912e-02,0.068279,1.748210e+00,EXPECTED
(13#)239/2,3591949,2.611007,3603583,2.491091,4.701520e-02,0.068129,1.760132e+00,EXPECTED
(13#)120,3616831,2.603235,3618583,2.491339,4.393459e-02,0.067980,1.646014e+00,EXPECTED
(13#)241/2,3633412,2.606239,3633583,2.491585,4.498913e-02,0.067833,1.690239e+00,EXPECTED
(13#)121,3644584,2.609578,3648643,2.491829,4.617154e-02,0.067686,1.739636e+00,EXPECTED
(13#)243/2,3658834,2.606500,3663659,2.492071,4.489423e-02,0.067541,1.694215e+00,EXPECTED
(13#)122,3675767,2.603042,3678671,2.492310,4.347077e-02,0.067397,1.642981e+00,EXPECTED
(13#)245/2,3682709,2.606978,3693689,2.492548,4.488622e-02,0.067253,1.701485e+00,EXPECTED
(13#)123,3704819,2.596930,3708697,2.492784,4.092982e-02,0.067111,1.551847e+00,EXPECTED
(13#)247/2,3722221,2.602626,3723719,2.493018,4.302691e-02,0.066970,1.636673e+00,EXPECTED
(13#)124,3735406,2.608630,3738733,2.493249,4.523850e-02,0.066830,1.726485e+00,EXPECTED
(13#)249/2,3753443,2.600434,3753721,2.493479,4.199943e-02,0.066691,1.603740e+00,EXPECTED
(13#)125,3760034,2.593551,3768731,2.493707,3.925762e-02,0.066553,1.500218e+00,EXPECTED
(13#)251/2,3783313,2.604192,3783739,2.493933,4.326147e-02,0.066416,1.660127e+00,EXPECTED
(13#)126,3797879,2.598422,3798793,2.494158,4.095314e-02,0.066279,1.573108e+00,EXPECTED
(13#)253/2,3801443,2.606210,3813773,2.494380,4.385686e-02,0.066144,1.690705e+00,EXPECTED
(13#)127,3822034,2.613491,3828821,2.494600,4.655848e-02,0.066010,1.801106e+00,EXPECTED
(17#)15/2,3834151,2.598408,3843823,2.494820,4.068237e-02,0.065877,1.572446e+00,EXPECTED
(13#)128,3853924,2.606403,3858851,2.495036,4.366795e-02,0.065745,1.693923e+00,EXPECTED
(13#)257/2,3858931,2.597507,3873847,2.495251,4.016281e-02,0.065614,1.558448e+00,EXPECTED
