Dec,n_1,C_max,Npred_1,Cpred_max,Lambda_max
0,4,1.921812,4,2.870137,-4.010913e-01
0,5,2.590290,5,4.266093,-4.989286e-01
0,6,2.140268,6,6.218875,-1.066658e+00
0,8,2.162039,8,2.814638,-2.637818e-01
0,9,4.827796,9,5.820367,-1.869733e-01
1,15,4.190592,15,7.379969,-5.659274e-01
1,21,5.561470,21,6.664255,-1.808957e-01
1,30,6.169677,30,7.340724,-1.737910e-01
1,45,6.586672,45,7.286662,-1.009973e-01
1,57,5.837951,51,5.803595,5.902267e-03
1,60,6.705463,60,7.244948,-7.738180e-02
1,75,7.053239,75,7.231355,-2.493944e-02
1,81,4.827796,84,6.503385,-2.979328e-01
1,90,5.399543,90,7.231854,-2.921811e-01
2,105,8.330518,105,8.666866,-3.958159e-02
2,210,8.169017,210,8.629795,-5.487212e-02
2,315,8.431106,315,8.611154,-2.113040e-02
2,420,7.991882,420,8.602239,-7.359623e-02
2,570,7.912132,525,8.597070,-8.302417e-02
2,660,7.918936,630,8.592078,-8.158377e-02
2,735,8.545496,735,8.587192,-4.867395e-03
2,840,8.204146,840,8.584079,-4.526953e-02
2,975,7.586652,945,8.582001,-1.232767e-01
3,1155,9.135596,1155,9.530079,-4.227459e-02
3,2730,9.539146,2310,9.515955,2.434102e-03
3,3465,9.205098,3465,9.508707,-3.245045e-02
3,4620,9.432003,4620,9.503955,-7.599554e-03
3,5775,9.302545,5775,9.500613,-2.106835e-02
3,6930,9.570228,6930,9.498100,7.565204e-03
3,7770,9.129686,7140,9.117713,1.312267e-03
3,8925,9.643464,8085,9.495990,1.541081e-02
3,9240,9.637497,9240,9.494181,1.498232e-02
4,15015,10.422348,15015,10.350831,6.885582e-03
4,21945,10.036306,21945,10.041984,-5.656189e-04
4,30030,10.293246,30030,10.342787,-4.801457e-03
4,45045,10.267641,45045,10.338597,-6.886853e-03
4,58905,10.142189,58905,10.106322,3.542644e-03
4,60060,10.288579,60060,10.335823,-4.581400e-03
4,75075,10.186498,75075,10.333785,-1.435553e-02
4,87780,9.960052,87780,10.028515,-6.850271e-03
4,90090,10.384689,90090,10.332190,5.068294e-03
5,150150,10.404410,105105,10.330878,7.092437e-03
5,255255,10.988794,255255,11.012285,-2.135411e-03
5,345345,10.823075,345345,10.813437,8.908765e-04
5,435435,10.808231,435435,10.702613,9.820015e-03
5,510510,11.026899,510510,11.007313,1.777804e-03
5,690690,10.755350,690690,10.808794,-4.956715e-03
5,765765,10.999099,765765,11.004658,-5.052601e-04
5,855855,10.950614,855855,10.923047,2.520535e-03
5,930930,10.674738,930930,10.671439,3.091064e-04
