START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio
5e0,5,2.590290,5,0.163541,2.762461e+00,3.585599,6.768043e-01
9e0,9,4.827796,9,0.611506,2.066221e+00,3.813561,1.105604e+00
2e3,2029,1.715762,2999,0.390411,1.480413e+00,0.377526,3.510622e+00
3e3,3076,1.845344,3989,0.426261,1.465369e+00,0.312679,4.538466e+00
4e3,4801,1.856187,4999,0.897210,7.269897e-01,0.270138,3.549952e+00
5e3,5416,1.965120,5987,0.775622,9.296433e-01,0.222102,5.355638e+00
6e3,6353,2.124621,6997,0.797421,9.799659e-01,0.216665,6.125586e+00
7e3,7219,2.055910,7993,1.071277,6.518672e-01,0.198536,4.959468e+00
8e3,8777,2.179478,8999,1.275316,5.358914e-01,0.183821,4.918709e+00
9e3,9649,2.163663,9973,1.448450,4.013086e-01,0.171596,4.168005e+00
1e4,11272,2.131467,19997,1.586747,2.951245e-01,0.218676,2.490991e+00
2e4,20816,2.279925,29989,1.958821,1.517998e-01,0.163670,1.961899e+00
3e4,35792,2.297694,39989,2.042432,1.177648e-01,0.134790,1.893776e+00
4e4,40597,2.307754,49999,2.081458,1.032061e-01,0.126451,1.789594e+00
5e4,51826,2.346624,59999,2.100772,1.106728e-01,0.124227,1.979054e+00
6e4,67904,2.413565,69997,2.109342,1.347289e-01,0.049878,6.099342e+00
7e4,71633,2.358847,79999,2.108854,1.120283e-01,0.046001,5.434512e+00
8e4,89459,2.383150,89989,2.103188,1.249689e-01,0.042860,6.532011e+00
9e4,92357,2.434532,99991,2.095071,1.501671e-01,0.040246,8.434652e+00
1e5,116728,2.402456,199999,2.033556,1.667056e-01,0.031965,1.154075e+01
2e5,204928,2.464243,299993,2.156187,1.335433e-01,0.026962,1.142556e+01
3e5,366794,2.499164,399989,2.282257,9.079141e-02,0.021587,1.004804e+01
4e5,463549,2.513127,499979,2.350204,6.702566e-02,0.018553,8.781491e+00
5e5,548461,2.531963,599999,2.393253,5.634136e-02,0.012991,1.067739e+01
6e5,686398,2.527108,699967,2.423205,4.198452e-02,0.015137,6.864174e+00
7e5,770558,2.532269,799999,2.445361,3.492298e-02,0.014057,6.182543e+00
8e5,804191,2.552045,899981,2.462479,3.572643e-02,0.013205,6.782734e+00
9e5,915961,2.547074,999983,2.476134,2.824678e-02,0.012512,5.669757e+00
1e6,1201553,2.553525,1999993,2.487305,2.627496e-02,0.011936,5.547922e+00
2e6,2053553,2.579809,2999999,2.541084,1.512460e-02,0.007979,4.853365e+00
3e6,3004042,2.591117,3999971,2.560617,1.184081e-02,0.005763,5.292382e+00
4e6,4792159,2.588525,4999999,2.570583,6.955494e-03,0.004578,3.919179e+00
5e6,5167067,2.597599,5999993,2.576441,8.178568e-03,0.003831,5.522840e+00
6e6,6175451,2.603294,6999997,2.580129,8.938169e-03,0.003314,6.990042e+00
7e6,7376626,2.610535,7999993,2.582519,1.078990e-02,0.002932,9.555252e+00
8e6,8143934,2.607556,8999993,2.584064,9.050031e-03,0.002638,8.905231e+00
9e6,9121549,2.613892,9999991,2.585023,1.110589e-02,0.002403,1.201373e+01
