START,n_0,C_min,Npred_0,CpredAlign,Lambda_min
4,4,1.921812,4,0.948325,7.063265e-01
5,5,2.590290,5,1.675803,4.354774e-01
6,6,2.140268,6,4.792029,-8.060229e-01
8,8,2.162039,8,0.652599,1.197844e+00
9,9,4.827796,9,4.211102,1.366657e-01
10,10,2.120759,10,1.734613,2.009897e-01
12,12,4.116507,12,4.193768,-1.859463e-02
14,14,1.989892,14,0.458688,1.467465e+00
(5#)3/2,59,1.146642,59,0.079633,2.667164e+00
(5#)2,64,1.081019,64,0.160262,1.908849e+00
(5#)5/2,79,0.979081,89,0.222361,1.482312e+00
(5#)3,97,0.871999,103,0.256484,1.223722e+00
(5#)11/2,178,1.810172,179,0.055391,3.486760e+00
(5#)6,181,1.801625,193,0.149920,2.486342e+00
(5#)13/2,199,1.132084,199,0.245430,1.528804e+00
(7#),223,1.053604,223,0.319782,1.192332e+00
(5#)15/2,236,1.517972,239,0.396254,1.343075e+00
(5#)8,241,1.504150,251,0.456921,1.191473e+00
(5#)17/2,262,2.366905,256,0.513841,1.527425e+00
(5#)9,283,1.808288,283,0.569939,1.154606e+00
(5#)19/2,292,2.207228,293,0.641565,1.235582e+00
(5#)10,313,1.693274,313,0.682655,9.084296e-01
(7#)3/2,316,2.096745,317,0.710579,1.082061e+00
(5#)11,337,1.613017,337,0.747001,7.697951e-01
(5#)23/2,349,1.970222,359,0.785982,9.189676e-01
(5#)12,362,1.917761,373,0.830908,8.363946e-01
(5#)25/2,379,1.492247,389,0.856052,5.557072e-01
(5#)13,391,1.826947,401,0.891672,7.173032e-01
(5#)27/2,412,2.111809,419,0.913907,8.375714e-01
(7#)2,433,1.364958,433,0.935126,3.781977e-01
(5#)29/2,439,2.366648,449,0.965026,8.970748e-01
(5#)15,463,1.956971,463,0.993357,6.780630e-01
(5#)31/2,466,1.944258,479,1.008071,6.568418e-01
(5#)16,481,1.907067,491,1.036350,6.098615e-01
(5#)33/2,496,1.863948,509,1.052430,5.715950e-01
(5#)17,524,2.394277,512,1.067065,8.081694e-01
(7#)5/2,526,2.089567,538,1.094794,6.463906e-01
(5#)18,548,2.031998,547,1.104237,6.098649e-01
(5#)37/2,569,1.983900,569,1.122220,5.697557e-01
(5#)19,577,2.245675,577,1.137122,6.805056e-01
(5#)39/2,599,2.188595,599,1.153598,6.403740e-01
(5#)20,601,1.910627,613,1.167561,4.925145e-01
(5#)41/2,617,1.876316,619,1.182711,4.615010e-01
(7#)3,631,2.111378,643,1.195300,5.689436e-01
(5#)43/2,649,2.329513,659,1.209284,6.556308e-01
(5#)22,661,1.788981,673,1.221189,3.818212e-01
