START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
4,4,3.84362411,4,9.10197203,-8.620754e-01,6.116053,-0.859762,EXPECTED
6,6,3.21040200,6,14.53327495,-1.510045e+00,6.369044,-1.777798,EXPECTED
9,9,3.21853056,9,15.36781665,-1.563351e+00,7.451180,-1.630518,EXPECTED
10,10,3.53459874,10,12.00808163,-1.222980e+00,8.029238,-1.055328,EXPECTED
12,12,3.08738053,12,15.54609642,-1.616487e+00,8.138739,-1.530792,EXPECTED
14,14,3.48231179,14,12.63096416,-1.288455e+00,8.981050,-1.018662,EXPECTED
5PRD2,15,5.86682871,15,17.69937973,-1.104215e+00,10.143014,-1.166571,EXPECTED
5PR,42,5.98721750,30,17.30664234,-1.061464e+00,7.857237,-1.440637,EXPECTED
5PR3D2,57,6.53850542,45,17.26521004,-9.709849e-01,7.184824,-1.492967,EXPECTED
5PR2,60,6.38615520,60,17.12649379,-9.864942e-01,6.481151,-1.657165,EXPECTED
5PR5D2,81,6.89685120,75,17.33203257,-9.214914e-01,6.204673,-1.681826,EXPECTED
5PR3,90,6.53170551,90,17.56334151,-9.891458e-01,5.917301,-1.864302,EXPECTED
7PRD2,105,8.19542857,105,21.59924740,-9.690820e-01,5.576309,-2.403708,EXPECTED
5PR4,120,6.54859348,120,19.55080184,-1.093766e+00,5.358421,-2.426500,EXPECTED
5PR9D2,147,6.83650674,135,19.02104744,-1.023269e+00,5.204093,-2.341338,EXPECTED
5PR5,150,6.63189669,150,18.39152984,-1.019999e+00,5.095070,-2.308042,EXPECTED
5PR11D2,165,7.19191150,165,18.80226271,-9.610202e-01,4.919128,-2.360246,EXPECTED
5PR6,189,6.66082710,180,17.67138819,-9.757032e-01,4.818055,-2.285271,EXPECTED
5PR13D2,195,8.17780128,195,18.01593329,-7.898332e-01,4.727784,-2.080918,EXPECTED
7PR,210,8.50019320,210,18.41375096,-7.730088e-01,4.608493,-2.151150,EXPECTED
5PR15D2,237,7.20474258,231,16.75522026,-8.439704e-01,4.545128,-2.101256,EXPECTED
5PR8,252,6.87069349,240,16.53767121,-8.783758e-01,4.481408,-2.157130,EXPECTED
5PR17D2,255,6.82346704,255,16.74059164,-8.974687e-01,4.423418,-2.241960,EXPECTED
5PR9,270,6.59838493,270,16.08888969,-8.913040e-01,4.339690,-2.186908,EXPECTED
5PR19D2,294,6.27244252,285,16.34386952,-9.576870e-01,4.293688,-2.345636,EXPECTED
5PR10,300,6.13832727,300,15.71422918,-9.400143e-01,4.251446,-2.252387,EXPECTED
7PR3D2,315,7.75130082,315,16.99844748,-7.852613e-01,4.191911,-2.205950,EXPECTED
5PR11,330,7.53764109,330,16.23780560,-7.674329e-01,4.159902,-2.091435,EXPECTED
5PR23D2,345,8.46620116,345,15.66708802,-6.154803e-01,4.144445,-1.737479,EXPECTED
5PR12,360,6.54731729,360,15.17322820,-8.404772e-01,4.098189,-2.104810,EXPECTED
5PR25D2,375,6.38699129,375,15.07013769,-8.584518e-01,4.054852,-2.141421,EXPECTED
5PR13,390,7.27487149,390,15.61771517,-7.639797e-01,4.029061,-2.070667,EXPECTED
5PR27D2,408,6.52443513,405,14.84353164,-8.220098e-01,3.992748,-2.083552,EXPECTED
7PR2,420,7.39554263,420,16.17804818,-7.827778e-01,3.972641,-2.210747,EXPECTED
5PR29D2,444,6.19317952,435,14.94039962,-8.806203e-01,3.962028,-2.207763,EXPECTED
5PR15,450,7.04205774,450,14.57086903,-7.271238e-01,3.937260,-1.912196,EXPECTED
5PR31D2,465,7.82095853,465,14.74463000,-6.340718e-01,3.927425,-1.762904,EXPECTED
5PR16,483,7.63852117,480,14.43138214,-6.362011e-01,3.895566,-1.743742,EXPECTED
5PR33D2,495,7.47932719,495,15.12918936,-7.044831e-01,3.882148,-1.970523,EXPECTED
5PR17,510,7.34171012,510,14.75259285,-6.978471e-01,3.860497,-1.919671,EXPECTED
7PR5D2,525,7.63397665,525,15.64148231,-7.173176e-01,3.849635,-2.080069,EXPECTED
5PR18,540,7.08342440,540,14.16601443,-6.930883e-01,3.845533,-1.841771,EXPECTED
5PR37D2,555,7.33396372,555,14.29520976,-6.674084e-01,3.833673,-1.815816,EXPECTED
5PR19,570,8.81468874,570,14.45974923,-4.949494e-01,3.813692,-1.480209,EXPECTED
5PR39D2,585,6.70054794,585,14.63994560,-7.815645e-01,3.806226,-2.085898,EXPECTED
5PR20,600,7.33484407,600,13.92899087,-6.413362e-01,3.793015,-1.738497,EXPECTED
5PR41D2,615,7.98139985,615,14.06793177,-5.667840e-01,3.787198,-1.607133,EXPECTED
7PR3,630,8.23460079,630,15.26344645,-6.171160e-01,3.785034,-1.857010,EXPECTED
5PR43D2,645,6.60808416,645,13.96115528,-7.479851e-01,3.780018,-1.945248,EXPECTED
5PR22,660,7.95950144,660,14.53847434,-6.024322e-01,3.769459,-1.745336,EXPECTED
5PR45D2,675,6.77637099,675,13.71369116,-7.049530e-01,3.764026,-1.843059,EXPECTED
5PR23,693,6.98531811,690,14.01627538,-6.964086e-01,3.760758,-1.869559,EXPECTED
5PR47D2,705,6.90923027,705,13.78744274,-6.909000e-01,3.752999,-1.832724,EXPECTED
5PR24,720,5.79426213,720,13.59742148,-8.530120e-01,3.751092,-2.080237,EXPECTED
7PR7D2,735,8.07257895,735,14.98576315,-6.186276e-01,3.749581,-1.843722,EXPECTED
