n,ratio,c_pred,baseline,c_meas,lambda,status
4,0.00000000,,,0.00000000,,EXPECTED
5,0.00000000,,,0.00000000,,EXPECTED
6,0.00000000,,,0.00000000,,EXPECTED
7,0.00000000,,,0.00000000,,EXPECTED
8,0.00000000,,,0.00000000,,EXPECTED
9,0.00000000,14.93688621,9.65559169,0.00000000,,EXPECTED
10,0.00000000,20.98152946,17.43849116,0.00000000,,EXPECTED
11,0.00000000,21.84607394,18.91202142,0.00000000,,EXPECTED
12,0.69962359,17.65166636,12.34952212,12.34952212,-0.35721282,EXPECTED
13,0.00000000,24.51960811,21.63890201,0.00000000,,EXPECTED
14,0.00000000,26.08464012,22.90737261,0.00000000,,EXPECTED
18,0.28766852,29.04123398,23.75232661,8.35424890,-1.24594642,EXPECTED
34,0.36936607,22.44425327,19.62310154,8.29014570,-0.99596706,EXPECTED
50,0.27642714,22.14532759,18.61915635,6.12156960,-1.28580800,EXPECTED
66,0.39730334,25.24621103,19.36968617,10.03040392,-0.92305521,EXPECTED
81,0.36695849,23.38888006,18.10080244,8.58274817,-1.00250654,EXPECTED
93,0.34945642,23.51590282,18.04496294,8.21778327,-1.05137641,EXPECTED
105,0.42383210,25.55180118,17.08950923,10.82967347,-0.85841790,EXPECTED
120,0.28973387,24.34072167,17.29092134,7.05233144,-1.23879247,EXPECTED
144,0.42126464,21.98651540,16.69996015,9.26214159,-0.86449403,EXPECTED
153,0.26768346,22.24339753,16.60413577,5.95418957,-1.31795012,EXPECTED
165,0.47339602,24.47626926,16.64355454,11.58696853,-0.74782298,EXPECTED
186,0.35904681,21.73089401,16.26165459,7.80240809,-1.02430252,EXPECTED
202,0.32515467,15.07119861,12.40105624,4.90047060,-1.12345430,EXPECTED
213,0.33319587,21.56648420,16.20295311,7.18586342,-1.09902477,EXPECTED
226,0.31697025,14.83152436,12.16450822,4.70115195,-1.14894737,EXPECTED
248,0.45444024,14.33375472,11.59955335,6.51383497,-0.78868885,EXPECTED
255,0.44704993,23.68446512,16.16611547,10.58813851,-0.80508499,EXPECTED
282,0.36751568,21.65289604,16.24938290,7.95777885,-1.00098929,EXPECTED
287,0.41756811,14.38226699,11.12915438,6.00557605,-0.87330761,EXPECTED
312,0.35261539,21.37956171,15.61289716,7.53876243,-1.04237737,EXPECTED
322,0.26437961,14.01412737,10.69163403,3.70504951,-1.33036930,EXPECTED
343,0.38747460,13.53104929,10.35944732,5.24293797,-0.94810497,EXPECTED
348,0.34616675,20.29451658,14.81276934,7.02528695,-1.06083467,EXPECTED
373,0.39117730,12.80569886,10.15555177,5.00929871,-0.93859437,EXPECTED
384,0.42022208,19.15120855,13.86535486,8.04776063,-0.86697195,EXPECTED
399,0.38872047,20.50468538,13.78863790,7.97059086,-0.94489479,EXPECTED
411,0.41070681,18.76550338,13.44047421,7.70712006,-0.88987567,EXPECTED
420,0.40614222,26.20107819,17.74387284,10.64136412,-0.90105188,EXPECTED
444,0.48076210,18.55008636,13.11349170,8.91817850,-0.73238272,EXPECTED
459,0.39085243,18.48290360,12.84465531,7.22408778,-0.93942521,EXPECTED
471,0.47449605,18.07627196,12.75656498,8.57711958,-0.74550199,EXPECTED
483,0.36298524,19.13055790,12.48569415,6.94411015,-1.01339311,EXPECTED
506,0.32663800,12.27862246,9.20233123,4.01066471,-1.11890275,EXPECTED
512,0.33887849,11.87996608,9.23720756,4.02586491,-1.08211369,EXPECTED
539,0.41035744,12.64328275,9.11958981,5.18826518,-0.89072669,EXPECTED
554,0.32528564,11.68396383,9.03154128,3.80062568,-1.12305158,EXPECTED
567,0.41870711,18.00191386,11.65918567,7.53752927,-0.87058363,EXPECTED
582,0.51123107,16.81761134,11.47654568,8.59768551,-0.67093359,EXPECTED
597,0.43392540,16.61573391,11.30326911,7.20998901,-0.83488265,EXPECTED
609,0.46800644,17.82335770,11.24590975,8.34144622,-0.75927322,EXPECTED
623,0.48686664,11.97753715,8.76979768,5.83146323,-0.71976504,EXPECTED
639,0.49121660,16.29237236,10.93029131,8.00308381,-0.71087010,EXPECTED
648,0.35070929,16.14922680,10.86381749,5.66368388,-1.04779763,EXPECTED
666,0.41268473,16.17142498,10.73503036,6.67370011,-0.88507135,EXPECTED
687,0.48065348,15.93448923,10.62572736,7.65896767,-0.73260869,EXPECTED
696,0.54072049,16.04670122,10.56553326,8.67678019,-0.61485278,EXPECTED
717,0.47092209,15.67352387,10.36572181,7.38100869,-0.75306260,EXPECTED
726,0.38768852,16.18333659,10.31062920,6.27409376,-0.94755305,EXPECTED
744,0.45949148,15.67121696,10.20355006,7.20079074,-0.77763487,EXPECTED
756,0.43326907,16.50601818,10.16369405,7.15154715,-0.83639633,EXPECTED
774,0.45481081,15.47615839,10.06199995,7.03872406,-0.78787376,EXPECTED
791,0.42827354,11.55359889,8.35380443,4.94810064,-0.84799319,EXPECTED
798,0.53138799,16.62059012,9.90509784,8.83198193,-0.63226285,EXPECTED
813,0.38350678,15.10670111,9.80174439,5.79352225,-0.95839799,EXPECTED
834,0.44309730,15.04697465,9.72309729,6.66727390,-0.81396588,EXPECTED
849,0.43966308,14.93066153,9.62658465,6.56446062,-0.82174657,EXPECTED
858,0.46582212,15.99092552,9.58460077,7.44892678,-0.76395144,EXPECTED
882,0.51898591,15.79558564,9.45322725,8.19768637,-0.65587855,EXPECTED
897,0.46864477,15.47295457,9.43264671,7.25131931,-0.75791021,EXPECTED
903,0.45304115,15.88157570,9.38463202,7.19500730,-0.79177232,EXPECTED
924,0.48848368,16.36480191,9.31786316,7.99393861,-0.71644922,EXPECTED
939,0.48190360,14.53782804,9.23565620,7.00583162,-0.73001119,EXPECTED
948,0.41847276,14.55359235,9.19982070,6.09028203,-0.87114347,EXPECTED
969,0.45291158,15.04834490,9.07918082,6.81556973,-0.79205835,EXPECTED
984,0.52705855,14.48234888,9.06173019,7.63304585,-0.64044363,EXPECTED
990,0.46648014,19.85730493,12.02739472,9.26303838,-0.76253983,EXPECTED
1008,0.48934954,15.29786130,8.95565362,7.48600135,-0.71467825,EXPECTED
1032,0.40040442,14.26831638,8.85430272,5.71309690,-0.91528020,EXPECTED
1035,0.46802755,19.19809255,11.81561594,8.98523622,-0.75922812,EXPECTED
1050,0.47958270,20.18151399,11.72536327,9.67870490,-0.73483894,EXPECTED
1074,0.45210104,14.01470114,8.69968277,6.33606098,-0.79384958,EXPECTED
1092,0.60380824,15.56226336,8.64352996,9.39662287,-0.50449861,EXPECTED
1107,0.61057356,14.05001974,8.62938259,8.57857063,-0.49335650,EXPECTED
1116,0.49608879,14.06938040,8.60205189,6.97966192,-0.70100035,EXPECTED
1131,0.47500776,14.52107188,8.54201044,6.89762189,-0.74442413,EXPECTED
1149,0.43983096,13.78884708,8.48992533,6.06476188,-0.82136480,EXPECTED
1173,0.57288148,14.31405210,8.40815311,8.20025535,-0.55707643,EXPECTED
1344,0.51851162,14.29615318,7.95419247,7.41272159,-0.65679284,EXPECTED
1374,0.55380038,13.21001649,7.90175363,7.31571220,-0.59095098,EXPECTED
1491,0.57887866,14.10714562,7.67330961,8.16632557,-0.54666239,EXPECTED
1590,0.62661996,17.15289259,9.96823806,10.74834483,-0.46741505,EXPECTED
1749,0.50608046,13.21997556,7.23276903,6.69037133,-0.68105961,EXPECTED
1800,0.52605681,16.59037460,9.54397637,8.72747946,-0.64234608,EXPECTED
1932,0.56993785,13.63546209,6.99172575,7.77136593,-0.56222796,EXPECTED
