START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
5PR13D2,198,55.93153638,195,96.97943876,-5.503706e-01,91.668860,-0.447785,EXPECTED
5PR15D2,228,58.95558792,231,101.87472196,-5.469594e-01,96.329680,-0.445544,EXPECTED
5PR8,240,60.07480602,240,103.79425169,-5.468200e-01,98.482984,-0.443929,EXPECTED
5PR9,282,63.66223079,270,108.65691429,-5.346039e-01,102.494109,-0.438998,EXPECTED
5PR10,312,65.96417123,300,111.88098230,-5.283239e-01,106.170462,-0.432482,EXPECTED
5PR23D2,348,68.49654773,345,117.09190640,-5.361758e-01,111.174455,-0.437109,EXPECTED
5PR13,399,35.86765885,390,120.44497537,-1.211357e+00,70.380616,-1.201713,EXPECTED
7PR2,432,36.82578912,420,112.18124461,-1.113917e+00,72.070692,-1.045577,EXPECTED
5PR29D2,441,37.07646750,435,112.24249367,-1.107679e+00,72.879411,-1.031375,EXPECTED
5PR15,462,37.64515653,450,114.07230607,-1.108628e+00,73.665844,-1.037484,EXPECTED
5PR31D2,465,37.72462349,465,114.54107942,-1.110621e+00,74.431275,-1.032045,EXPECTED
5PR16,489,38.34535320,480,115.40994285,-1.101857e+00,75.176877,-1.025110,EXPECTED
5PR33D2,501,38.64619142,495,117.27533446,-1.110076e+00,75.903725,-1.035906,EXPECTED
5PR17,522,39.15840364,510,118.01812334,-1.103223e+00,76.612807,-1.029328,EXPECTED
5PR19,570,40.26710082,570,121.94108647,-1.108003e+00,79.288668,-1.030084,EXPECTED
5PR39D2,596,27.22345052,585,123.10623091,-1.508969e+00,61.938359,-1.548036,EXPECTED
5PR20,610,27.42163720,600,90.98477158,-1.199360e+00,62.418372,-1.018340,EXPECTED
5PR41D2,618,27.53316926,615,91.81462785,-1.204380e+00,62.888585,-1.022148,EXPECTED
7PR3,644,27.88741787,630,93.67848887,-1.211693e+00,63.349418,-1.038543,EXPECTED
5PR43D2,656,28.04685452,645,93.06528522,-1.199425e+00,63.801265,-1.019077,EXPECTED
5PR22,660,28.09945205,660,94.28721383,-1.210596e+00,64.244494,-1.030248,EXPECTED
5PR45D2,680,28.35846298,675,94.10441369,-1.199479e+00,64.679450,-1.016489,EXPECTED
5PR24,730,28.97882415,720,95.83794571,-1.196093e+00,65.937837,-1.013972,EXPECTED
7PR7D2,741,29.11044818,735,97.80373439,-1.211866e+00,66.342767,-1.035430,EXPECTED
5PR25,759,29.32229838,750,96.94326311,-1.195778e+00,66.740869,-1.013187,EXPECTED
5PR51D2,771,29.46117381,765,97.95135889,-1.201398e+00,67.132387,-1.020226,EXPECTED
5PR27,824,22.54004295,810,80.91591291,-1.278117e+00,58.131855,-1.004198,EXPECTED
5PR55D2,825,45.09637403,825,81.98749673,-5.977649e-01,58.444661,-0.631215,EXPECTED
5PR57D2,861,22.83592067,855,82.41032424,-1.283376e+00,59.056246,-1.008774,EXPECTED
5PR29,884,23.01442882,870,82.64358297,-1.278416e+00,59.355319,-1.004613,EXPECTED
5PR59D2,885,23.02209984,885,82.88736627,-1.281028e+00,59.650095,-1.003607,EXPECTED
5PR30,909,23.20402284,900,83.13939338,-1.276193e+00,59.940706,-0.999911,EXPECTED
5PR61D2,915,23.24886270,915,83.72934980,-1.281333e+00,60.227275,-1.004204,EXPECTED
5PR31,944,23.46211425,930,84.11761189,-1.276829e+00,60.509921,-1.002406,EXPECTED
7PR9D2,950,23.50553547,945,85.64328257,-1.292955e+00,60.788757,-1.022191,EXPECTED
5PR32,974,23.67691076,960,84.59021337,-1.273318e+00,61.063892,-0.997534,EXPECTED
5PR65D2,987,23.76823748,975,85.58095114,-1.281113e+00,54.874122,-1.126446,EXPECTED
5PR33,994,19.05359059,990,74.20577088,-1.359586e+00,55.113924,-1.000694,EXPECTED
5PR67D2,1017,19.18010273,1005,73.82144369,-1.347776e+00,55.350681,-0.987185,EXPECTED
5PR34,1032,19.26129813,1020,74.46864056,-1.352280e+00,55.584474,-0.993215,EXPECTED
5PR69D2,1044,19.32553038,1035,74.61701300,-1.350941e+00,55.815383,-0.990614,EXPECTED
7PR5,1062,19.42070346,1050,75.96906140,-1.363986e+00,56.043481,-1.009009,EXPECTED
5PR71D2,1066,19.44166525,1065,74.93839356,-1.349248e+00,56.268841,-0.986278,EXPECTED
5PR36,1092,39.15259529,1080,75.19616569,-6.526335e-01,56.491533,-0.638035,EXPECTED
5PR73D2,1106,19.64765795,1095,75.47694130,-1.345869e+00,56.711623,-0.984442,EXPECTED
5PR37,1120,19.71824801,1110,75.84491516,-1.347146e+00,56.929175,-0.985903,EXPECTED
5PR75D2,1126,19.74826948,1125,75.90661648,-1.346438e+00,57.144252,-0.982747,EXPECTED
5PR38,1152,19.87679753,1140,76.58074376,-1.348793e+00,57.356912,-0.988616,EXPECTED
11PRD2,1184,20.03161169,1155,78.77075583,-1.369230e+00,54.196789,-1.083812,EXPECTED
7PR6,1302,34.28844106,1260,71.12540163,-7.296362e-01,55.420013,-0.664687,EXPECTED
7PR13D2,1428,30.15207652,1365,73.11155631,-8.857326e-01,53.207777,-0.807391,EXPECTED
7PR7,1488,30.49472849,1470,67.33447179,-7.921185e-01,54.220007,-0.679449,EXPECTED
7PR15D2,1620,27.30739077,1575,78.97446758,-1.061967e+00,52.642439,-0.981472,EXPECTED
7PR8,1756,13.95318990,1680,80.13333093,-1.747984e+00,51.587853,-1.282863,EXPECTED
7PR17D2,1875,25.24301396,1785,74.14786364,-1.077512e+00,52.379013,-0.933673,EXPECTED
7PR9,1983,23.05760937,1890,75.20899687,-1.182275e+00,51.640615,-1.009891,EXPECTED
7PR19D2,2085,23.36327006,1995,70.15081527,-1.099482e+00,52.340562,-0.893906,EXPECTED
7PR10,2136,23.51125545,2145,71.02960654,-1.105618e+00,51.847128,-0.916509,EXPECTED
7PR21D2,2277,21.73177958,2205,66.99716113,-1.125875e+00,52.475937,-0.862593,EXPECTED
11PR,2349,21.90715826,2310,67.16822517,-1.120387e+00,52.177747,-0.867440,EXPECTED
7PR23D2,2512,10.21510834,2415,63.73770924,-1.830909e+00,52.749739,-1.014651,EXPECTED
7PR12,2550,20.50865382,2520,64.15922865,-1.140521e+00,38.389655,-1.137040,EXPECTED
7PR25D2,2700,28.81195959,2625,61.58841948,-7.596833e-01,38.773268,-0.845337,EXPECTED
7PR13,2730,19.26173668,2730,61.09739823,-1.154349e+00,36.754159,-1.138257,EXPECTED
7PR27D2,2847,27.11419348,2835,58.92077881,-7.761365e-01,37.091336,-0.857521,EXPECTED
7PR14,3030,17.13636071,2940,58.68768890,-1.231027e+00,35.299886,-1.177095,EXPECTED
7PR29D2,3075,17.19944736,3045,57.19262922,-1.201548e+00,35.599013,-1.123435,EXPECTED
7PR15,3219,16.30877968,3150,56.33955181,-1.239693e+00,33.997007,-1.177479,EXPECTED
7PR31D2,3345,24.69631037,3255,55.33258347,-8.067081e-01,32.574582,-0.940496,EXPECTED
7PR16,3462,15.62729611,3360,53.11199848,-1.223384e+00,32.822031,-1.142059,EXPECTED
11PR3D2,3543,23.57417683,3465,53.51751613,-8.198571e-01,31.532251,-0.949610,EXPECTED
7PR17,3630,14.93124691,3570,52.07136683,-1.249159e+00,31.756190,-1.169540,EXPECTED
7PR35D2,3750,15.04996739,3675,52.05729452,-1.240969e+00,30.580464,-1.210162,EXPECTED
7PR18,3870,14.36721741,3780,50.85751833,-1.264079e+00,30.784292,-1.185355,EXPECTED
7PR37D2,3933,14.42344017,3885,51.21650224,-1.267207e+00,29.707425,-1.238514,EXPECTED
7PR19,4092,13.83379628,3990,50.76851723,-1.300162e+00,29.893902,-1.235527,EXPECTED
7PR39D2,4143,20.81254906,4095,51.30208752,-9.021753e-01,28.903341,-1.054879,EXPECTED
7PR20,4257,19.95088096,4290,50.19362944,-9.226148e-01,29.074732,-1.040173,EXPECTED
7PR41D2,4338,13.36065726,4305,50.35971940,-1.326877e+00,28.160012,-1.313887,EXPECTED
7PR21,4500,19.29788972,4410,49.56567624,-9.433028e-01,28.318197,-1.068846,EXPECTED
7PR43D2,4533,12.88761922,4515,50.00267974,-1.355809e+00,27.470514,-1.351087,EXPECTED
11PR2,4650,18.60303891,4620,50.21064055,-9.929020e-01,27.617065,-1.144495,EXPECTED
7PR45D2,4800,17.96221717,4725,49.48946744,-1.013489e+00,26.828960,-1.175120,EXPECTED
7PR23,4926,12.04813484,4830,49.41390665,-1.411322e+00,26.965205,-1.385703,EXPECTED
7PR47D2,5016,17.42328314,4935,49.40523629,-1.042249e+00,26.230311,-1.219275,EXPECTED
7PR24,5100,17.49127143,5040,48.78157378,-1.025651e+00,25.549254,-1.224705,EXPECTED
7PR49D2,5235,11.28108623,5145,48.38986371,-1.456163e+00,25.670222,-1.445596,EXPECTED
