n,ratio,c_pred,baseline,c_meas,lambda,status
4,-0.00000000,,,0.00000000,,EXPECTED
5,-0.00000000,,,0.00000000,,EXPECTED
6,-0.00000000,,,0.00000000,,EXPECTED
7,-0.00000000,,,0.00000000,,EXPECTED
8,-0.00000000,,,0.00000000,,EXPECTED
9,-0.00000000,,,0.00000000,,EXPECTED
10,-0.00000000,,,0.00000000,,EXPECTED
11,-0.00000000,,,0.00000000,,EXPECTED
12,-0.00000000,,,0.00000000,,EXPECTED
13,-0.00000000,,,0.00000000,,EXPECTED
14,-0.00000000,,,0.00000000,,EXPECTED
18,-1.46314335,-11.41959043,-16.70849780,16.70849780,,EXPECTED
30,-0.44759378,-25.84518416,-32.88988981,11.56814363,,EXPECTED
50,-0.49462757,-20.62686495,-24.14999409,10.20261600,,EXPECTED
70,-0.44717578,-20.18189797,-24.40818885,9.02485591,,EXPECTED
75,-0.39321540,-18.96233303,-26.00763682,7.45628144,,EXPECTED
102,-0.69255263,-20.59085233,-26.22589676,14.26024902,,EXPECTED
105,-0.80124443,-15.44693378,-23.90074682,12.37676968,,EXPECTED
120,-0.35557325,-16.11487749,-23.15920150,5.73001930,,EXPECTED
144,-0.61437081,-17.86763428,-23.15096447,10.97735299,,EXPECTED
162,-0.58124877,-16.19312066,-21.47667651,9.41223144,,EXPECTED
165,-0.68673724,-13.80476603,-21.63187324,9.48024698,,EXPECTED
189,-0.59708754,-15.33885181,-21.67885528,9.15863726,,EXPECTED
195,-0.64368181,-13.29109827,-20.97575150,8.55523826,,EXPECTED
210,-0.33300411,-12.26563983,-20.71848111,4.08450842,,EXPECTED
225,-0.58141769,-13.45407674,-20.49824122,7.82243828,,EXPECTED
240,-0.56608318,-13.26545470,-20.30942689,7.50935075,,EXPECTED
267,-0.71344864,-14.58518798,-19.92919414,10.40578252,,EXPECTED
270,-0.80581507,-12.96506251,-20.00898208,10.44744281,,EXPECTED
297,-0.70218598,-13.85042712,-19.72065189,9.72557570,,EXPECTED
312,-0.67907743,-13.87684627,-19.64021064,9.42345303,,EXPECTED
322,-0.51292830,-12.38284850,-15.70356862,6.35151344,,EXPECTED
330,-0.51779380,-11.80865834,-19.63514133,6.11445011,,EXPECTED
352,-0.49025656,-12.19669136,-15.13165166,5.97950792,,EXPECTED
360,-0.69366812,-12.48659829,-19.53039795,8.66155517,,EXPECTED
378,-0.64008790,-13.20679958,-19.54632170,8.45351259,,EXPECTED
399,-0.63064672,-12.63875734,-19.35118163,7.97059086,,EXPECTED
405,-0.64579314,-12.40392368,-19.44775559,8.01036887,,EXPECTED
420,-0.94902280,-10.98413386,-19.43662205,10.42419342,,EXPECTED
441,-0.76247397,-12.96707614,-19.30669399,9.88705800,,EXPECTED
450,-0.80320626,-12.39130650,-19.43502103,9.95277494,,EXPECTED
465,-0.60061166,-12.15684028,-19.44349731,7.30154003,,EXPECTED
483,-0.74272908,-12.85549704,-19.49684353,9.54815146,,EXPECTED
506,-0.46320071,-9.84702312,-12.92165553,4.56114811,,EXPECTED
522,-0.51407691,-13.05810293,-18.53661216,6.71286920,,EXPECTED
539,-0.47974069,-9.16247799,-12.68438961,4.39561355,,EXPECTED
546,-0.38919155,-11.03410133,-17.94985072,4.29437902,,EXPECTED
567,-0.74063643,-11.42691666,-17.76634541,8.46319076,,EXPECTED
582,-0.85242047,-12.19211297,-17.53052924,10.39280666,,EXPECTED
588,-0.74729670,-10.88259768,-17.22192682,8.13252931,,EXPECTED
609,-0.95623250,-10.48612557,-17.06024036,10.02717402,,EXPECTED
627,-0.74114909,-10.66189752,-16.87697636,7.90205568,,EXPECTED
630,-0.84286607,-14.08368272,-22.53600016,11.87065828,,EXPECTED
657,-0.68796298,-11.12376033,-16.48096515,7.65273526,,EXPECTED
672,-0.56771269,-9.95420496,-16.29351488,5.65112849,,EXPECTED
687,-0.68672497,-10.80652635,-16.11258121,7.42111153,,EXPECTED
696,-0.87497904,-10.41766045,-15.89609002,9.11523451,,EXPECTED
717,-0.86073635,-10.46381741,-15.76887489,9.00658798,,EXPECTED
726,-0.91331901,-9.69681866,-15.56654829,8.85628882,,EXPECTED
748,-0.63840322,-8.23116564,-11.36163363,5.25480266,,EXPECTED
756,-0.57951259,-8.91843442,-15.25772591,5.16834500,,EXPECTED
777,-0.79007066,-8.62530181,-15.14571174,6.81459789,,EXPECTED
792,-0.73635644,-9.13211750,-15.00179135,6.72449355,,EXPECTED
798,-0.81662517,-8.10028915,-14.81240466,6.61490005,,EXPECTED
816,-0.72167135,-9.05961052,-14.69450957,6.53806136,,EXPECTED
825,-0.97608702,-11.55029554,-19.37660703,11.27409351,,EXPECTED
846,-0.70565038,-9.03675005,-14.43684993,6.37678614,,EXPECTED
858,-0.99631976,-7.89538047,-14.29860942,7.86632354,,EXPECTED
882,-1.19550321,-7.69519120,-14.03440117,9.19962582,,EXPECTED
897,-0.76893241,-7.88441006,-13.92177363,6.06257844,,EXPECTED
912,-0.91163492,-8.21865295,-13.81206353,7.49241104,,EXPECTED
924,-1.10255458,-6.82159317,-13.86509613,7.52117880,,EXPECTED
939,-0.87934172,-8.45717389,-13.75680474,7.43674586,,EXPECTED
945,-0.60493793,-9.69908084,-18.15141958,5.86734186,,EXPECTED
969,-1.15834304,-7.42173219,-13.38809842,8.59691182,,EXPECTED
984,-1.08039628,-7.87348043,-13.29162788,8.50647896,,EXPECTED
996,-0.89026298,-7.99054957,-13.33842506,7.11369048,,EXPECTED
1008,-1.22451693,-6.89259522,-13.23174231,8.44009956,,EXPECTED
1029,-1.02949092,-6.67637202,-13.01561097,6.87326436,,EXPECTED
1041,-1.06626961,-7.76118305,-13.05915941,8.27551363,,EXPECTED
1050,-1.23740732,-8.81325234,-17.26550471,10.90558299,,EXPECTED
1071,-1.32504057,-6.12175375,-12.88355313,8.11157207,,EXPECTED
1092,-1.37532836,-5.77050335,-12.68592981,7.93633688,,EXPECTED
1107,-1.09374442,-7.18731912,-12.60540301,7.86109017,,EXPECTED
1113,-1.06485525,-6.16141588,-12.62485223,6.56101605,,EXPECTED
1137,-0.89887909,-7.15283145,-12.44946821,6.42953060,,EXPECTED
1152,-1.07806391,-7.09134408,-12.37394803,7.64492213,,EXPECTED
1254,-1.48012364,-5.66354997,-11.87839710,8.38275418,,EXPECTED
1302,-1.59212815,-5.13932805,-11.69700656,8.18246889,,EXPECTED
1365,-1.69577744,-5.94790363,-15.16844104,10.08632078,,EXPECTED
1491,-2.32765358,-4.54247494,-10.97342486,10.57330805,,EXPECTED
1638,-2.46540262,-3.60304447,-10.51839445,8.88295528,,EXPECTED
1683,-1.87257872,-4.13578353,-10.39659917,7.74458022,,EXPECTED
1827,-2.37742921,-3.44407734,-10.01791741,8.18805007,,EXPECTED
1932,-2.49928956,-3.14740777,-9.78829798,7.86628338,,EXPECTED
2046,-2.40935116,-3.47088381,-9.54274550,8.36257792,,EXPECTED
2121,-2.71374768,-3.00272175,-9.40577567,8.14862919,,EXPECTED
2289,-3.12868614,-2.69745648,-9.09571568,8.43949469,,EXPECTED
2310,-3.66009866,-2.71408886,-12.10519518,9.93383299,,EXPECTED
2499,-3.89309240,-2.03468612,-8.79627571,7.92122108,,EXPECTED
2541,-4.62086490,-1.69168737,-8.73498997,7.81705878,,EXPECTED
2688,-3.39116427,-2.21053726,-8.54950546,7.49629498,,EXPECTED
2772,-5.61711642,-1.42821380,-8.47147623,8.02244317,,EXPECTED
