START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
11PR76,175984,0.600336,176713,0.000000,,10.888186,5.513646e-02,EXPECTED
11PR77,178868,0.592205,179021,0.000000,,10.898832,5.433656e-02,EXPECTED
11PR80,185488,0.574824,185951,0.000000,,10.932471,5.257951e-02,EXPECTED
11PR85,197051,0.546418,197479,0.000000,,11.000190,4.967351e-02,EXPECTED
11PR171D2,198337,0.544002,198659,0.000000,,11.007925,4.941912e-02,EXPECTED
11PR86,199684,0.540652,199813,0.000000,,11.015773,4.907981e-02,EXPECTED
11PR89,206476,0.525499,206699,0.000000,,11.064135,4.749571e-02,EXPECTED
11PR90,208582,0.520888,209039,0.000000,,11.081635,4.700462e-02,EXPECTED
11PR181D2,210016,0.517874,210209,0.000000,,11.090536,4.669513e-02,EXPECTED
11PR189D2,219146,0.499928,219437,0.000000,,11.165360,4.477491e-02,EXPECTED
11PR95,220484,0.994273,220589,0.000000,,11.175208,8.897132e-02,EXPECTED
11PR191D2,221582,0.495099,221747,0.000000,,11.185146,4.426397e-02,EXPECTED
11PR96,222682,0.493081,222913,0.000000,,9.295293,5.304631e-02,EXPECTED
11PR97,224941,0.489117,225223,0.000000,,9.218018,5.306097e-02,EXPECTED
11PR99,229829,0.480761,229841,0.000000,,9.093396,5.286925e-02,EXPECTED
11PR100,231731,0.476890,232153,0.000000,,9.020176,5.286926e-02,EXPECTED
11PR203D2,235402,0.470749,235607,0.000000,,8.931183,5.270847e-02,EXPECTED
11PR207D2,239788,0.463596,240209,0.000000,,8.804118,5.265672e-02,EXPECTED
11PR209D2,242344,0.919063,242533,0.000000,,8.748001,1.050598e-01,EXPECTED
11PR105,243319,0.457776,243703,0.000000,,8.708862,5.256439e-02,EXPECTED
11PR211D2,244799,0.455513,244859,0.000000,,8.681441,5.246975e-02,EXPECTED
11PR213D2,247042,0.452169,247141,0.000000,,8.627235,5.241181e-02,EXPECTED
11PR107,247357,0.451600,248323,0.000000,,8.600445,5.250891e-02,EXPECTED
11PR219D2,253156,0.442911,254083,0.000000,,8.458919,5.236024e-02,EXPECTED
13PR21D2,326432,0.357798,330329,0.000000,,7.015332,5.100229e-02,EXPECTED
13PR11,341225,0.344618,345329,0.000000,,6.802495,5.066053e-02,EXPECTED
13PR25D2,390304,0.307528,390389,0.000000,,6.241672,4.927013e-02,EXPECTED
13PR13,403813,0.298896,405401,0.000000,,6.082832,4.913764e-02,EXPECTED
13PR27D2,418378,0.580262,420419,0.000000,,5.929720,9.785656e-02,EXPECTED
13PR14,427358,0.569834,435427,0.000000,,5.790258,9.841254e-02,EXPECTED
13PR29D2,446506,0.274517,450431,0.000000,,5.655209,4.854233e-02,EXPECTED
13PR15,463292,0.532294,465463,0.000000,,5.531675,9.622655e-02,EXPECTED
13PR31D2,471853,0.523957,480463,0.000000,,5.411572,9.682159e-02,EXPECTED
13PR16,485594,0.511350,495491,0.000000,,5.301301,9.645745e-02,EXPECTED
13PR33D2,502847,0.496673,510481,0.000000,,5.193716,9.562960e-02,EXPECTED
17PR,511703,0.489184,524288,0.000000,,5.094614,9.601984e-02,EXPECTED
13PR35D2,538772,0.468178,540539,0.000000,,4.997625,9.368010e-02,EXPECTED
13PR18,551417,0.688542,555523,0.000000,,4.908023,1.402891e-01,EXPECTED
13PR37D2,556559,0.683229,570569,0.000000,,4.822590,1.416726e-01,EXPECTED
13PR19,573913,0.665617,585581,0.000000,,4.738641,1.404658e-01,EXPECTED
13PR39D2,592432,0.863946,600577,0.000000,,4.660792,1.853646e-01,EXPECTED
13PR20,603553,0.637691,615607,0.000000,,4.584115,1.391089e-01,EXPECTED
13PR41D2,627656,0.617019,630613,0.000000,,4.512851,1.367249e-01,EXPECTED
13PR21,638857,0.607783,645641,0.000000,,4.442510,1.368107e-01,EXPECTED
13PR43D2,656512,0.593771,660659,0.000000,,4.377003,1.356570e-01,EXPECTED
13PR22,668867,0.779286,675643,0.000000,,4.312219,1.807158e-01,EXPECTED
13PR45D2,677203,0.771124,690689,0.000000,,4.251777,1.813651e-01,EXPECTED
13PR23,699956,0.749668,705689,0.000000,,4.191894,1.788375e-01,EXPECTED
13PR47D2,715882,0.735436,720703,0.000000,,4.135932,1.778163e-01,EXPECTED
13PR24,726847,0.726078,735733,0.000000,,4.080397,1.779430e-01,EXPECTED
13PR49D2,746663,0.532148,750749,0.000000,,4.028419,1.320985e-01,EXPECTED
13PR25,757408,0.876043,765763,0.000000,,3.976760,2.202906e-01,EXPECTED
17PR3D2,777472,0.856901,780733,0.000000,,3.928341,2.181330e-01,EXPECTED
13PR26,788617,0.846479,795793,0.000000,,3.880153,2.181561e-01,EXPECTED
13PR53D2,808396,0.994819,810809,0.000000,,3.834929,2.594100e-01,EXPECTED
13PR27,811766,0.825823,825821,0.000000,,3.789862,2.179032e-01,EXPECTED
13PR55D2,828881,0.811349,840839,0.000000,,3.747516,2.165031e-01,EXPECTED
13PR28,853582,0.791341,855851,0.000000,,3.706484,2.135018e-01,EXPECTED
13PR57D2,861884,0.941766,870853,0.000000,,3.665525,2.569253e-01,EXPECTED
13PR29,873569,0.775919,885883,0.000000,,3.626974,2.139301e-01,EXPECTED
13PR59D2,897179,0.758201,900869,0.000000,,3.588450,2.112893e-01,EXPECTED
13PR30,915358,0.894458,915911,0.000000,,3.552155,2.518071e-01,EXPECTED
13PR61D2,927922,0.736664,930911,0.000000,,3.515848,2.095267e-01,EXPECTED
